model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6711.434580564626,0,3
model1,0,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6711.4368251666065,0,3
model1,0,smc,2,000000 000100 001000 1 10 10000 100000 100100 10100 101000,10,-6712.1677431738535,0,3
model1,0,smc,3,000000 001000 1 10 100 10000 100000 101000,8,-6712.77807095817,1,3
model1,0,smc,4,000000 1 10 100 1000 10000 100000,7,-6713.106330847806,0,3
model1,0,smc,5,000 1 10 100,4,-6714.872594436927,0,3
model1,0,smc,6,00 1 10,3,-6726.239167317513,0,3
model1,0,smc,7,0 1,2,-6788.113866939645,0,3
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6847.20104279041,0,6
model1,1,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-6847.254894629911,0,6
model1,1,smc,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-6847.326719635488,0,6
model1,1,smc,3,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,-6847.409018399448,0,6
model1,1,smc,4,000 000010 00100 001010 1 100010 10010 10100 101010,9,-6848.583656383998,0,6
model1,1,smc,5,000 0010 00100 001010 1 10100 101010,7,-6849.760736975689,0,6
model1,1,smc,6,000 00100 1 10 10100,5,-6852.196741335154,1,6
model1,1,smc,7,000 1 10 100,4,-6853.791513201963,0,6
model1,1,smc,8,00 1 10,3,-6855.712416159673,0,6
model1,1,smc,9,0 1,2,-6900.444320800157,0,6
model1,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6801.963643302843,0,6
model1,2,smc,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-6801.973091038808,0,6
model1,2,smc,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-6802.0474462305565,0,6
model1,2,smc,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-6802.128473302767,0,6
model1,2,smc,4,00000 00010 001000 001010 1 100 10000 10010 101000 101010,10,-6802.243506950953,0,6
model1,2,smc,5,00000 0010 001000 001010 1 100 10000 101000 101010,9,-6802.400799774766,0,6
model1,2,smc,6,00000 001000 1 10 100 10000 101000,7,-6803.567513019493,1,6
model1,2,smc,7,00000 1 10 100 1000 10000,6,-6804.659803313326,0,6
model1,2,smc,8,000 1 10 100,4,-6807.690552510218,0,6
model1,2,smc,9,00 1 10,3,-6816.526763400668,0,6
model1,2,smc,10,0 1,2,-6867.08029139023,0,6
model1,3,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6842.461392759734,0,6
model1,3,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-6842.462588509154,0,6
model1,3,smc,2,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010,11,-6842.4923607579385,0,6
model1,3,smc,3,00000 000100 0010 001010 1 1000 10000 100100 10100 101010,10,-6842.793495346597,0,6
model1,3,smc,4,0000 000100 0010 001010 1 1000 100100 10100 101010,9,-6842.828398310643,0,6
