model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3051.3706201395435,0,5
model2,0,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3051.4166383367674,0,5
model2,0,smc,2,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,-3051.469915715153,0,5
model2,0,smc,3,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-3051.603608835677,0,5
model2,0,smc,4,000000 001000 1 10 100 10000 100000 101000,8,-3052.295957473436,0,5
model2,0,smc,5,000 1 10 100,4,-3054.377356876211,1,5
model2,0,smc,6,00 1 10,3,-3060.0341887262553,0,5
model2,0,smc,7,0 1,2,-3104.850764110936,0,5
model2,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-2941.409256463061,0,9
model2,1,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-2941.417735520582,0,9
model2,1,smc,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-2941.4290968759497,0,9
model2,1,smc,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-2941.4743342100633,0,9
model2,1,smc,4,00000 00010 00100 001010 1 1000 10000 10010 10100 101010,10,-2941.536438473306,0,9
model2,1,smc,5,00000 0010 00100 001010 1 1000 10000 10100 101010,9,-2941.6345038805093,0,9
model2,1,smc,6,00000 0010 00100 1 1000 10000 1010 10100,8,-2941.7904537932577,0,9
model2,1,smc,7,00000 0010 1 100 1000 10000 1010,7,-2942.113385179753,0,9
model2,1,smc,8,000 0010 1 100 1010,5,-2943.1517729050956,0,9
model2,1,smc,9,000 1 10 100,4,-2944.432672149267,1,9
model2,1,smc,10,00 1 10,3,-2947.2463818813617,0,9
model2,1,smc,11,0 1,2,-3008.9594585907334,0,9
model2,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3011.617540076699,0,10
model2,2,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-3011.6197684765357,0,10
model2,2,smc,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-3011.627912124054,0,10
