model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,15,smc,2,00 1 10,3,-6814.042819414987,0,1
model1,15,smc,3,0 1,2,-6852.638586765803,0,1
model1,16,smc,0,000000 1 10 100 1000 10000 100000,7,-6789.987334217677,0,2
model1,16,smc,1,00000 1 10 100 1000 10000,6,-6789.998034146571,0,2
model1,16,smc,2,000 1 10 100,4,-6790.528347857676,1,2
model1,16,smc,3,00 1 10,3,-6795.6271206869715,0,2
model1,16,smc,4,0 1,2,-6851.680759672585,0,2
model1,17,smc,0,000000 1 10 100 1000 10000 100000,7,-6759.768037690903,0,2
model1,17,smc,1,00000 1 10 100 1000 10000,6,-6759.848000654132,0,2
model1,17,smc,2,0000 1 10 100 1000,5,-6759.965644281452,1,2
model1,17,smc,3,000 1 10 100,4,-6760.96145315127,0,2
model1,17,smc,4,00 1 10,3,-6764.827547488282,0,2
model1,17,smc,5,0 1,2,-6811.138827256029,0,2
model1,18,smc,0,000000 1 10 100 1000 10000 100000,7,-6813.326209312525,0,1
model1,18,smc,1,000 1 10 100,4,-6814.065608167543,1,1
model1,18,smc,2,00 1 10,3,-6822.376369786638,0,1
model1,18,smc,3,0 1,2,-6850.397885205681,0,1
model1,19,smc,0,000000 1 10 100 1000 10000 100000,7,-6779.949734041293,0,3
model1,19,smc,1,00000 1 10 100 1000 10000,6,-6779.951304807552,0,3
model1,19,smc,2,0000 1 10 100 1000,5,-6779.959233226013,0,3
model1,19,smc,3,000 1 10 100,4,-6779.992540384084,1,3
model1,19,smc,4,00 1 10,3,-6786.444534061832,0,3
model1,19,smc,5,0 1,2,-6828.243104852314,0,3
model1,20,smc,0,000000 1 10 100 1000 10000 100000,7,-6734.503066416105,0,3
model1,20,smc,1,00000 1 10 100 1000 10000,6,-6734.7395970759,0,3
model1,20,smc,2,0000 1 10 100 1000,5,-6735.027021487444,0,3
model1,20,smc,3,000 1 10 100,4,-6735.667556587496,1,3
model1,20,smc,4,00 1 10,3,-6743.625228384595,0,3
model1,20,smc,5,0 1,2,-6789.413964705409,0,3
model1,21,smc,0,000000 1 10 100 1000 10000 100000,7,-6830.052323106909,0,3
model1,21,smc,1,00000 1 10 100 1000 10000,6,-6830.05874692115,0,3
model1,21,smc,2,0000 1 10 100 1000,5,-6830.137113679569,0,3
model1,21,smc,3,000 1 10 100,4,-6831.180657165658,1,3
model1,21,smc,4,00 1 10,3,-6835.45801914634,0,3
model1,21,smc,5,0 1,2,-6880.703660987236,0,3
model1,22,smc,0,000000 1 10 100 1000 10000 100000,7,-6753.642718443818,0,2
model1,22,smc,1,00000 1 10 100 1000 10000,6,-6753.809578549559,0,2
model1,22,smc,2,00 1 10,3,-6755.750123187159,1,2
model1,22,smc,3,0 1,2,-6813.402078471982,0,2
model1,23,smc,0,000000 1 10 100 1000 10000 100000,7,-6788.383925469107,0,1
model1,23,smc,1,0000 1 10 100 1000,5,-6790.935306051659,1,1
model1,23,smc,2,000 1 10 100,4,-6792.229124873272,0,1
model1,23,smc,3,00 1 10,3,-6799.059519420982,0,1
model1,23,smc,4,0 1,2,-6850.397885205681,0,1
model1,24,smc,0,000000 1 10 100 1000 10000 100000,7,-6748.966339053768,0,2
model1,24,smc,1,00000 1 10 100 1000 10000,6,-6749.704306648533,0,2
model1,24,smc,2,000 1 10 100,4,-6751.817825191134,1,2
model1,24,smc,3,00 1 10,3,-6756.06483145524,0,2
model1,24,smc,4,0 1,2,-6814.372550461363,0,2
model1,25,smc,0,000000 1 10 100 1000 10000 100000,7,-6785.9969165854045,0,3
model1,25,smc,1,00000 1 10 100 1000 10000,6,-6786.062473712026,0,3
model1,25,smc,2,0000 1 10 100 1000,5,-6786.186509798699,0,3
model1,25,smc,3,000 1 10 100,4,-6786.4917941916065,1,3
model1,25,smc,4,00 1 10,3,-6789.24150722975,0,3
model1,25,smc,5,0 1,2,-6830.17404081588,0,3
model1,26,smc,0,000000 1 10 100 1000 10000 100000,7,-6808.41144729365,0,2
model1,26,smc,1,0000 1 10 100 1000,5,-6809.201731284826,0,2
model1,26,smc,2,000 1 10 100,4,-6809.42335985066,1,2
model1,26,smc,3,00 1 10,3,-6815.620279671993,0,2
model1,26,smc,4,0 1,2,-6871.796408060405,0,2
model1,27,smc,0,000000 1 10 100 1000 10000 100000,7,-6787.843852003141,0,2
model1,27,smc,1,0000 1 10 100 1000,5,-6788.943190022089,0,2
model1,27,smc,2,000 1 10 100,4,-6790.082795798285,1,2
model1,27,smc,3,00 1 10,3,-6791.267479215819,0,2
model1,27,smc,4,0 1,2,-6848.155907202838,0,2
model1,28,smc,0,000000 1 10 100 1000 10000 100000,7,-6734.547823283317,0,3
model1,28,smc,1,00000 1 10 100 1000 10000,6,-6734.549075154477,0,3
model1,28,smc,2,0000 1 10 100 1000,5,-6734.749696203058,0,3
model1,28,smc,3,000 1 10 100,4,-6734.74987400443,1,3
model1,28,smc,4,00 1 10,3,-6743.551480855478,0,3
model1,28,smc,5,0 1,2,-6782.898341386465,0,3
model1,29,smc,0,000000 1 10 100 1000 10000 100000,7,-6797.7117660304875,0,2
model1,29,smc,1,00000 1 10 100 1000 10000,6,-6797.790360410668,0,2
model1,29,smc,2,000 1 10 100,4,-6801.771176538732,1,2
model1,29,smc,3,00 1 10,3,-6805.558012712374,0,2
model1,29,smc,4,0 1,2,-6845.912652005414,0,2
model1,30,smc,0,000000 1 10 100 1000 10000 100000,7,-6715.146543750445,0,3
model1,30,smc,1,00000 1 10 100 1000 10000,6,-6715.200519035631,0,3
model1,30,smc,2,0000 1 10 100 1000,5,-6715.277937533855,0,3
model1,30,smc,3,000 1 10 100,4,-6715.441730924563,1,3
model1,30,smc,4,00 1 10,3,-6718.210388831778,0,3
model1,30,smc,5,0 1,2,-6760.031433561346,0,3
model1,31,smc,0,000000 1 10 100 1000 10000 100000,7,-6696.406229068695,0,1
model1,31,smc,1,000 1 10 100,4,-6698.329434441543,1,1
