model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.1114459668952,0
model1,0,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.1266252684777,0
model1,0,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.160799529797,0
model1,0,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1652.6602851558105,0
model1,0,smc,4,000000 1 10 100 1000 10000 100000,7,-1654.4355369618613,0
model1,0,smc,5,000 1 10 100,4,-1656.2375004179971,0
model1,0,smc,6,00 1 10,3,-1657.1731616573613,1
model1,0,smc,7,0 1,2,-1673.8054120192533,0
model1,0,smc,8,,1,-3401.667062074236,0
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1654.6401242744105,0
model1,1,smc,1,000 000010 000100 001010 1 100010 10010 100100 10100 101010,10,-1655.1541962153858,0
model1,1,smc,2,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1655.3028227812529,0
model1,1,smc,3,000 000100 1 10 100100 10100,6,-1655.9771563659506,0
model1,1,smc,4,000 00100 1 10 10100,5,-1656.6882243802497,0
model1,1,smc,5,00 1 10,3,-1658.2428456318405,1
model1,1,smc,6,0 1,2,-1682.0702643406835,0
model1,1,smc,7,,1,-3400.72836009024,0
model1,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1674.9372302254496,0
model1,2,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1674.9402281657303,0
model1,2,smc,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1674.9457083617276,0
model1,2,smc,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1675.0832807027564,0
model1,2,smc,4,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1675.224611370645,0
model1,2,smc,5,00000 00010 001010 1 100 1000 10000 10010 101010,9,-1675.611002876342,0
model1,2,smc,6,0000 00010 001010 1 100 1000 10010 101010,8,-1676.0401710766405,0
model1,2,smc,7,0000 0010 001010 1 100 1000 101010,7,-1676.4912679488762,0
model1,2,smc,8,000 0010 001010 1 100 101010,6,-1677.904692752585,0
model1,2,smc,9,00 0010 001010 1 101010,5,-1679.4758651640177,0
model1,2,smc,10,00 1 10,3,-1682.839004102823,0
model1,2,smc,11,0 1,2,-1691.258921151973,1
model1,2,smc,12,,1,-3399.465264579442,0
