model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,7,smc,6,000 1 10 100,4,-3318.633739348995,0
model1,7,smc,7,00 1 10,3,-3320.879606354959,0
model1,7,smc,8,0 1,2,-3347.846990044761,0
model1,8,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3338.5742927588994,1
model1,8,smc,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-3338.5790148772935,0
model1,8,smc,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3338.623788165442,0
model1,8,smc,3,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,-3338.6719261821995,0
model1,8,smc,4,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,-3339.1545159682028,0
model1,8,smc,5,000 0010 001010 1 100 101010,6,-3343.7041002692235,0
model1,8,smc,6,000 1 10 100,4,-3347.3130157560463,0
model1,8,smc,7,00 1 10,3,-3353.3836309195785,0
model1,8,smc,8,0 1,2,-3383.469800200152,0
model1,9,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3351.864193889477,1
model1,9,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-3351.8789405926345,0
model1,9,smc,2,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010,12,-3351.920595328518,0
model1,9,smc,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-3352.1574294024617,0
model1,9,smc,4,0000 000100 1 10 1000 100100 10100,7,-3352.468637261727,0
model1,9,smc,5,000 000100 1 10 100100 10100,6,-3352.7020867178553,0
model1,9,smc,6,000 1 10 100,4,-3354.994262555656,0
model1,9,smc,7,00 1 10,3,-3356.7460551345625,0
model1,9,smc,8,0 1,2,-3391.3022431367804,0
model1,10,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3400.3230231495513,1
model1,10,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3400.3238246828746,0
model1,10,smc,2,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-3400.327325947024,0
model1,10,smc,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-3400.3350057121347,0
model1,10,smc,4,00000 000010 00100 1 1000 10000 100010 10010 1010 10100,10,-3400.5202943818645,0
model1,10,smc,5,00000 000010 1 100 1000 10000 100010 10010 1010,9,-3400.9087275982447,0
model1,10,smc,6,00000 1 10 100 1000 10000,6,-3402.2764330568607,0
model1,10,smc,7,0000 1 10 100 1000,5,-3402.8098434583403,0
model1,10,smc,8,000 1 10 100,4,-3403.388263294953,0
model1,10,smc,9,00 1 10,3,-3404.0675318533977,0
model1,10,smc,10,0 1,2,-3430.9457275494137,0
model1,11,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3439.4940091803965,1
model1,11,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3439.4975622024876,0
model1,11,smc,2,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,-3439.6515018500904,0
model1,11,smc,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-3439.851836523945,0
model1,11,smc,4,00000 000010 00100 1 1000 10000 100010 10010 1010 10100,10,-3440.479708194045,0
model1,11,smc,5,00000 00010 00100 1 1000 10000 10010 1010 10100,9,-3441.165472104278,0
model1,11,smc,6,00 00010 1 10010 1010,5,-3445.3607629519165,0
model1,11,smc,7,00 1 10,3,-3448.3510852358286,0
model1,11,smc,8,0 1,2,-3471.6722588994303,0
