model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20335.43685596206,0,15
model1,0,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-20335.43685596206,0,15
model1,0,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-20335.43685596206,0,15
model1,0,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20335.43685596206,0,15
model1,0,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20335.43685596206,0,15
model1,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-20335.436855962056,0,15
model1,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-20335.436855962056,0,15
model1,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6711.434580564626,0,15
model1,0,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6711.4368251666065,0,15
model1,0,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-6711.765085056243,0,15
model1,0,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,-6712.36221602575,0,15
model1,0,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-6712.375412840559,0,15
model1,0,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,-6713.062375503948,0,15
model1,0,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-6713.1032635202555,0,15
model1,0,prune,14,000000 1 10 100 1000 10000 100000,7,-6713.106330847806,0,15
model1,0,prune,15,00000 1 10 100 1000 10000,6,-6714.359188990387,1,15
model1,0,prune,16,0000 1 10 100 1000,5,-6714.4025708299,0,15
model1,0,prune,17,000 1 10 100,4,-6714.872594436927,0,15
model1,0,prune,18,00 1 10,3,-6726.239167317513,0,15
model1,0,prune,19,0 1,2,-6788.113866939645,0,15
