model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,23,0
model1,5000,smc,0,0 1,2,24,0
model1,5000,smc,1,00 1 10,3,24,0
model1,5000,smc,2,000 1 10 100,4,24,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,24,1
model1,5000,smc,0,0 1,2,25,0
model1,5000,smc,1,00 1 10,3,25,0
model1,5000,smc,2,000 1 10 100,4,25,0
model1,5000,smc,3,0000 1 10 100 1000,5,25,0
model1,5000,smc,4,00000 1 10 100 1000 10000,6,25,0
model1,5000,smc,5,000000 1 10 100 1000 10000 100000,7,25,1
model1,5000,smc,0,0 1,2,26,0
model1,5000,smc,1,000 1 10 100,4,26,0
model1,5000,smc,2,00000 1 10 100 1000 10000,6,26,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,26,0
model1,5000,smc,0,0 1,2,27,0
model1,5000,smc,1,00 1 10,3,27,0
model1,5000,smc,2,000 1 10 100,4,27,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,27,0
model1,5000,smc,0,0 1,2,28,0
model1,5000,smc,1,00 1 10,3,28,0
model1,5000,smc,2,000000 1 10 100 1000 10000 100000,7,28,1
model1,5000,smc,0,0 1,2,29,0
model1,5000,smc,1,00 1 10,3,29,0
model1,5000,smc,2,000 1 10 100,4,29,0
model1,5000,smc,3,0000 1 10 100 1000,5,29,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,29,1
model1,5000,smc,0,0 1,2,30,0
model1,5000,smc,1,00 1 10,3,30,0
model1,5000,smc,2,000 1 10 100,4,30,0
model1,5000,smc,3,0000 1 10 100 1000,5,30,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,30,1
model1,5000,smc,0,0 1,2,31,0
model1,5000,smc,1,00 1 10,3,31,0
model1,5000,smc,2,000 1 10 100,4,31,0
model1,5000,smc,3,0000 1 10 100 1000,5,31,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,31,0
model1,5000,smc,0,0 1,2,32,0
model1,5000,smc,1,00 1 10,3,32,0
model1,5000,smc,2,000 1 10 100,4,32,1
