model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,10000,smc,2,000 1 10 100,4,15,0
model1,10000,smc,3,0000 1 10 100 1000,5,15,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,15,0
model1,10000,smc,0,0 1,2,16,0
model1,10000,smc,1,00 1 10,3,16,0
model1,10000,smc,2,000 1 10 100,4,16,0
model1,10000,smc,3,0000 1 10 100 1000,5,16,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,16,0
model1,10000,smc,0,0 1,2,17,0
model1,10000,smc,1,00 1 10,3,17,0
model1,10000,smc,2,000 1 10 100,4,17,0
model1,10000,smc,3,0000 1 10 100 1000,5,17,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,17,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,17,0
model1,10000,smc,0,0 1,2,18,0
model1,10000,smc,1,00 1 10,3,18,0
model1,10000,smc,2,0000 1 10 100 1000,5,18,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,18,0
model1,10000,smc,0,0 1,2,19,0
model1,10000,smc,1,00 1 10,3,19,0
model1,10000,smc,2,000 1 10 100,4,19,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,19,0
model1,10000,smc,0,0 1,2,20,0
model1,10000,smc,1,00 1 10,3,20,0
model1,10000,smc,2,000 1 10 100,4,20,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,20,0
model1,10000,smc,0,0 1,2,21,0
model1,10000,smc,1,00 1 10,3,21,0
model1,10000,smc,2,000 1 10 100,4,21,0
model1,10000,smc,3,0000 1 10 100 1000,5,21,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,21,0
model1,10000,smc,0,0 1,2,22,0
model1,10000,smc,1,00 1 10,3,22,0
model1,10000,smc,2,000 1 10 100,4,22,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,22,0
model1,10000,smc,0,0 1,2,23,0
model1,10000,smc,1,00 1 10,3,23,0
model1,10000,smc,2,000 1 10 100,4,23,0
model1,10000,smc,3,0000 1 10 100 1000,5,23,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,23,0
model1,10000,smc,0,0 1,2,24,0
model1,10000,smc,1,00 1 10,3,24,0
model1,10000,smc,2,000 1 10 100,4,24,0
model1,10000,smc,3,0000 1 10 100 1000,5,24,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,24,0
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,24,1
model1,10000,smc,0,0 1,2,25,0
model1,10000,smc,1,00 1 10,3,25,0
model1,10000,smc,2,000 1 10 100,4,25,0
model1,10000,smc,3,0000 1 10 100 1000,5,25,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,25,0
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,25,1
model1,10000,smc,0,0 1,2,26,0
model1,10000,smc,1,00 1 10,3,26,0
model1,10000,smc,2,000 1 10 100,4,26,0
model1,10000,smc,3,0000 1 10 100 1000,5,26,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,26,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,26,0
model1,10000,smc,0,0 1,2,27,0
model1,10000,smc,1,00 1 10,3,27,0
model1,10000,smc,2,0000 1 10 100 1000,5,27,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,27,0
model1,10000,smc,0,0 1,2,28,0
model1,10000,smc,1,00 1 10,3,28,0
model1,10000,smc,2,000 1 10 100,4,28,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,28,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,28,0
model1,10000,smc,0,0 1,2,29,0
model1,10000,smc,1,00 1 10,3,29,0
model1,10000,smc,2,000 1 10 100,4,29,0
model1,10000,smc,3,0000 1 10 100 1000,5,29,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,29,1
model1,10000,smc,0,0 1,2,30,0
model1,10000,smc,1,00 1 10,3,30,0
model1,10000,smc,2,000 1 10 100,4,30,0
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,30,1
model1,10000,smc,0,0 1,2,31,0
model1,10000,smc,1,00 1 10,3,31,0
model1,10000,smc,2,000 1 10 100,4,31,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,31,0
model1,10000,smc,0,0 1,2,32,0
model1,10000,smc,1,00 1 10,3,32,0
model1,10000,smc,2,000 1 10 100,4,32,0
model1,10000,smc,3,0000 1 10 100 1000,5,32,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,32,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,32,0
model1,10000,smc,0,0 1,2,33,0
model1,10000,smc,1,00 1 10,3,33,0
model1,10000,smc,2,000 1 10 100,4,33,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,33,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,33,1
model1,10000,smc,0,0 1,2,34,0
model1,10000,smc,1,00 1 10,3,34,0
model1,10000,smc,2,000 1 10 100,4,34,0
model1,10000,smc,3,0000 1 10 100 1000,5,34,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,34,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,34,0
model1,10000,smc,0,0 1,2,35,0
model1,10000,smc,1,00 1 10,3,35,0
model1,10000,smc,2,000 1 10 100,4,35,0
model1,10000,smc,3,0000 1 10 100 1000,5,35,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,35,0
model1,10000,smc,0,0 1,2,36,0
model1,10000,smc,1,00 1 10,3,36,0
model1,10000,smc,2,000 1 10 100,4,36,0
model1,10000,smc,3,0000 1 10 100 1000,5,36,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,36,0
model1,10000,smc,0,0 1,2,37,0
model1,10000,smc,1,00 1 10,3,37,0
model1,10000,smc,2,000 1 10 100,4,37,0
model1,10000,smc,3,0000 1 10 100 1000,5,37,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,37,0
model1,10000,smc,0,0 1,2,38,0
model1,10000,smc,1,00 1 10,3,38,0
model1,10000,smc,2,000 1 10 100,4,38,0
model1,10000,smc,3,0000 1 10 100 1000,5,38,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,38,1
model1,10000,smc,0,0 1,2,39,0
model1,10000,smc,1,00 1 10,3,39,0
model1,10000,smc,2,000 1 10 100,4,39,0
model1,10000,smc,3,0000 1 10 100 1000,5,39,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,39,1
model1,10000,smc,0,0 1,2,40,0
model1,10000,smc,1,00 1 10,3,40,0
model1,10000,smc,2,000 1 10 100,4,40,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,40,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,40,0
model1,10000,smc,0,0 1,2,41,0
model1,10000,smc,1,00 1 10,3,41,0
model1,10000,smc,2,000 1 10 100,4,41,0
model1,10000,smc,3,0000 1 10 100 1000,5,41,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,41,1
model1,10000,smc,0,0 1,2,42,0
model1,10000,smc,1,00 1 10,3,42,0
model1,10000,smc,2,000 1 10 100,4,42,0
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,42,1
model1,10000,smc,0,0 1,2,43,0
model1,10000,smc,1,00 1 10,3,43,0
model1,10000,smc,2,000 1 10 100,4,43,0
model1,10000,smc,3,0000 1 10 100 1000,5,43,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,43,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,43,0
model1,10000,smc,0,0 1,2,44,0
model1,10000,smc,1,00 1 10,3,44,0
model1,10000,smc,2,000 1 10 100,4,44,0
model1,10000,smc,3,0000 1 10 100 1000,5,44,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,44,0
model1,10000,smc,0,0 1,2,45,0
model1,10000,smc,1,00 1 10,3,45,0
model1,10000,smc,2,000 1 10 100,4,45,0
model1,10000,smc,3,0000 1 10 100 1000,5,45,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,45,1
model1,10000,smc,0,0 1,2,46,0
model1,10000,smc,1,00 1 10,3,46,0
model1,10000,smc,2,000 1 10 100,4,46,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,46,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,46,0
model1,10000,smc,0,0 1,2,47,0
model1,10000,smc,1,00 1 10,3,47,0
model1,10000,smc,2,000 1 10 100,4,47,0
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,47,1
model1,10000,smc,0,0 1,2,48,0
model1,10000,smc,1,00 1 10,3,48,0
model1,10000,smc,2,000 1 10 100,4,48,0
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,48,1
model1,10000,smc,0,0 1,2,49,0
model1,10000,smc,1,00 1 10,3,49,0
model1,10000,smc,2,000 1 10 100,4,49,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,49,0
model1,10000,smc,0,0 1,2,50,0
model1,10000,smc,1,00 1 10,3,50,0
model1,10000,smc,2,0000 1 10 100 1000,5,50,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,50,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,50,0
model1,10000,smc,0,0 1,2,51,0
model1,10000,smc,1,00 1 10,3,51,0
model1,10000,smc,2,000 1 10 100,4,51,0
model1,10000,smc,3,0000 1 10 100 1000,5,51,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,51,0
model1,10000,smc,0,0 1,2,52,0
model1,10000,smc,1,00 1 10,3,52,0
model1,10000,smc,2,000 1 10 100,4,52,0
model1,10000,smc,3,0000 1 10 100 1000,5,52,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,52,0
model1,10000,smc,0,0 1,2,53,0
model1,10000,smc,1,00 1 10,3,53,0
model1,10000,smc,2,000 1 10 100,4,53,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,53,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,53,1
model1,10000,smc,0,0 1,2,54,0
model1,10000,smc,1,00 1 10,3,54,0
model1,10000,smc,2,000 1 10 100,4,54,0
model1,10000,smc,3,0000 1 10 100 1000,5,54,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,54,0
model1,10000,smc,0,0 1,2,55,0
model1,10000,smc,1,00 1 10,3,55,0
model1,10000,smc,2,0000 1 10 100 1000,5,55,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,55,0
model1,10000,smc,0,0 1,2,56,0
model1,10000,smc,1,00 1 10,3,56,0
model1,10000,smc,2,000 1 10 100,4,56,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,56,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,56,1
model1,10000,smc,0,0 1,2,57,0
model1,10000,smc,1,00 1 10,3,57,0
model1,10000,smc,2,000 1 10 100,4,57,0
model1,10000,smc,3,0000 1 10 100 1000,5,57,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,57,0
model1,10000,smc,0,0 1,2,58,0
model1,10000,smc,1,00 1 10,3,58,0
model1,10000,smc,2,000 1 10 100,4,58,0
model1,10000,smc,3,0000 1 10 100 1000,5,58,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,58,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,58,0
model1,10000,smc,0,0 1,2,59,0
model1,10000,smc,1,00 1 10,3,59,0
model1,10000,smc,2,000 1 10 100,4,59,0
model1,10000,smc,3,0000 1 10 100 1000,5,59,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,59,0
model1,10000,smc,0,0 1,2,60,0
model1,10000,smc,1,00 1 10,3,60,0
model1,10000,smc,2,000 1 10 100,4,60,0
model1,10000,smc,3,0000 1 10 100 1000,5,60,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,60,0
model1,10000,smc,0,0 1,2,61,0
model1,10000,smc,1,00 1 10,3,61,0
model1,10000,smc,2,000 1 10 100,4,61,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,61,0
model1,10000,smc,0,0 1,2,62,0
model1,10000,smc,1,00 1 10,3,62,0
model1,10000,smc,2,000 1 10 100,4,62,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,62,0
model1,10000,smc,0,0 1,2,63,0
model1,10000,smc,1,00 1 10,3,63,0
model1,10000,smc,2,000 1 10 100,4,63,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,63,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,63,0
model1,10000,smc,0,0 1,2,64,0
model1,10000,smc,1,00 1 10,3,64,0
model1,10000,smc,2,000 1 10 100,4,64,0
model1,10000,smc,3,0000 1 10 100 1000,5,64,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,64,1
model1,10000,smc,0,0 1,2,65,0
model1,10000,smc,1,00 1 10,3,65,0
model1,10000,smc,2,000 1 10 100,4,65,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,65,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,65,0
model1,10000,smc,0,0 1,2,66,0
model1,10000,smc,1,00 1 10,3,66,0
model1,10000,smc,2,000 1 10 100,4,66,0
model1,10000,smc,3,0000 1 10 100 1000,5,66,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,66,0
model1,10000,smc,0,0 1,2,67,0
model1,10000,smc,1,00 1 10,3,67,0
model1,10000,smc,2,000 1 10 100,4,67,0
model1,10000,smc,3,0000 1 10 100 1000,5,67,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,67,0
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,67,1
model1,10000,smc,0,0 1,2,68,0
model1,10000,smc,1,00 1 10,3,68,0
model1,10000,smc,2,000 1 10 100,4,68,0
model1,10000,smc,3,0000 1 10 100 1000,5,68,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,68,1
model1,10000,smc,0,0 1,2,69,0
model1,10000,smc,1,00 1 10,3,69,0
model1,10000,smc,2,000 1 10 100,4,69,0
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,69,1
model1,10000,smc,0,0 1,2,70,0
model1,10000,smc,1,00 1 10,3,70,0
model1,10000,smc,2,000 1 10 100,4,70,0
model1,10000,smc,3,0000 1 10 100 1000,5,70,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,70,0
model1,10000,smc,0,0 1,2,71,0
model1,10000,smc,1,00 1 10,3,71,0
model1,10000,smc,2,000 1 10 100,4,71,0
model1,10000,smc,3,0000 1 10 100 1000,5,71,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,71,1
model1,10000,smc,0,0 1,2,72,0
model1,10000,smc,1,00 1 10,3,72,0
model1,10000,smc,2,000 1 10 100,4,72,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,72,1
model1,10000,smc,0,0 1,2,73,0
model1,10000,smc,1,00 1 10,3,73,0
model1,10000,smc,2,000 1 10 100,4,73,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,73,0
model1,10000,smc,0,0 1,2,74,0
model1,10000,smc,1,00 1 10,3,74,0
model1,10000,smc,2,000 1 10 100,4,74,0
model1,10000,smc,3,0000 1 10 100 1000,5,74,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,74,0
model1,10000,smc,0,0 1,2,75,0
model1,10000,smc,1,00 1 10,3,75,0
model1,10000,smc,2,000 1 10 100,4,75,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,75,0
model1,10000,smc,0,0 1,2,76,0
model1,10000,smc,1,00 1 10,3,76,0
model1,10000,smc,2,000 1 10 100,4,76,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,76,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,76,1
model1,10000,smc,0,0 1,2,77,0
model1,10000,smc,1,00 1 10,3,77,0
model1,10000,smc,2,000 1 10 100,4,77,0
model1,10000,smc,3,0000 1 10 100 1000,5,77,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,77,1
model1,10000,smc,0,0 1,2,78,0
model1,10000,smc,1,00 1 10,3,78,0
model1,10000,smc,2,000 1 10 100,4,78,0
model1,10000,smc,3,0000 1 10 100 1000,5,78,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,78,0
model1,10000,smc,0,0 1,2,79,0
model1,10000,smc,1,00 1 10,3,79,0
model1,10000,smc,2,000 1 10 100,4,79,0
model1,10000,smc,3,0000 1 10 100 1000,5,79,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,79,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,79,0
model1,10000,smc,0,0 1,2,80,0
model1,10000,smc,1,00 1 10,3,80,0
model1,10000,smc,2,000 1 10 100,4,80,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,80,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,80,0
model1,10000,smc,0,0 1,2,81,0
model1,10000,smc,1,00 1 10,3,81,0
model1,10000,smc,2,000 1 10 100,4,81,0
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,81,1
model1,10000,smc,0,0 1,2,82,0
model1,10000,smc,1,00 1 10,3,82,0
model1,10000,smc,2,000 1 10 100,4,82,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,82,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,82,1
model1,10000,smc,0,0 1,2,83,0
model1,10000,smc,1,00 1 10,3,83,0
model1,10000,smc,2,000 1 10 100,4,83,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,83,1
model1,10000,smc,0,0 1,2,84,0
model1,10000,smc,1,00 1 10,3,84,0
model1,10000,smc,2,000 1 10 100,4,84,0
model1,10000,smc,3,0000 1 10 100 1000,5,84,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,84,0
model1,10000,smc,0,0 1,2,85,0
model1,10000,smc,1,00 1 10,3,85,0
model1,10000,smc,2,000 1 10 100,4,85,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,85,0
model1,10000,smc,0,0 1,2,86,0
model1,10000,smc,1,00 1 10,3,86,0
model1,10000,smc,2,000 1 10 100,4,86,0
model1,10000,smc,3,0000 1 10 100 1000,5,86,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,86,0
model1,10000,smc,0,0 1,2,87,0
model1,10000,smc,1,00 1 10,3,87,0
model1,10000,smc,2,000 1 10 100,4,87,0
model1,10000,smc,3,0000 1 10 100 1000,5,87,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,87,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,87,0
model1,10000,smc,0,0 1,2,88,0
model1,10000,smc,1,00 1 10,3,88,0
model1,10000,smc,2,000 1 10 100,4,88,0
model1,10000,smc,3,0000 1 10 100 1000,5,88,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,88,0
model1,10000,smc,0,0 1,2,89,0
model1,10000,smc,1,00 1 10,3,89,0
model1,10000,smc,2,000 1 10 100,4,89,0
model1,10000,smc,3,0000 1 10 100 1000,5,89,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,89,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,89,0
model1,10000,smc,0,0 1,2,90,0
model1,10000,smc,1,00 1 10,3,90,0
model1,10000,smc,2,000 1 10 100,4,90,0
model1,10000,smc,3,0000 1 10 100 1000,5,90,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,90,0
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,90,1
model1,10000,smc,0,0 1,2,91,0
model1,10000,smc,1,00 1 10,3,91,0
model1,10000,smc,2,000 1 10 100,4,91,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,91,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,91,0
model1,10000,smc,0,0 1,2,92,0
model1,10000,smc,1,00 1 10,3,92,0
model1,10000,smc,2,000 1 10 100,4,92,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,92,0
model1,10000,smc,0,0 1,2,93,0
model1,10000,smc,1,00 1 10,3,93,0
model1,10000,smc,2,0000 1 10 100 1000,5,93,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,93,0
model1,10000,smc,0,0 1,2,94,0
model1,10000,smc,1,00 1 10,3,94,0
model1,10000,smc,2,000 1 10 100,4,94,0
model1,10000,smc,3,00000 1 10 100 1000 10000,6,94,1
model1,10000,smc,0,0 1,2,95,0
model1,10000,smc,1,00 1 10,3,95,0
model1,10000,smc,2,000 1 10 100,4,95,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,95,0
model1,10000,smc,0,0 1,2,96,0
model1,10000,smc,1,00 1 10,3,96,0
model1,10000,smc,2,000 1 10 100,4,96,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,96,0
model1,10000,smc,0,0 1,2,97,0
model1,10000,smc,1,00 1 10,3,97,0
model1,10000,smc,2,000 1 10 100,4,97,0
model1,10000,smc,3,0000 1 10 100 1000,5,97,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,97,0
model1,10000,smc,0,0 1,2,98,0
model1,10000,smc,1,00 1 10,3,98,0
model1,10000,smc,2,000 1 10 100,4,98,0
model1,10000,smc,3,0000 1 10 100 1000,5,98,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,98,1
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,98,0
model1,10000,smc,0,0 1,2,99,0
model1,10000,smc,1,00 1 10,3,99,0
model1,10000,smc,2,000 1 10 100,4,99,0
model1,10000,smc,3,0000 1 10 100 1000,5,99,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,99,1
model1,20000,smc,0,0 1,2,0,0
model1,20000,smc,1,00 1 10,3,0,0
model1,20000,smc,2,000 1 10 100,4,0,0
model1,20000,smc,3,0000 1 10 100 1000,5,0,0
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,0,1
model1,20000,smc,0,0 1,2,1,0
model1,20000,smc,1,00 1 10,3,1,0
model1,20000,smc,2,000 1 10 100,4,1,0
model1,20000,smc,3,00000 1 10 100 1000 10000,6,1,1
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,1,0
model1,20000,smc,0,0 1,2,2,0
model1,20000,smc,1,00 1 10,3,2,0
model1,20000,smc,2,000 1 10 100,4,2,0
model1,20000,smc,3,00000 1 10 100 1000 10000,6,2,1
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,2,0
model1,20000,smc,0,0 1,2,3,0
model1,20000,smc,1,00 1 10,3,3,0
model1,20000,smc,2,000 1 10 100,4,3,0
model1,20000,smc,3,0000 1 10 100 1000,5,3,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,3,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,3,1
model1,20000,smc,0,0 1,2,4,0
model1,20000,smc,1,00 1 10,3,4,0
model1,20000,smc,2,000 1 10 100,4,4,0
model1,20000,smc,3,0000 1 10 100 1000,5,4,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,4,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,4,1
model1,20000,smc,0,0 1,2,5,0
model1,20000,smc,1,00 1 10,3,5,0
model1,20000,smc,2,000 1 10 100,4,5,0
model1,20000,smc,3,0000 1 10 100 1000,5,5,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,5,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,5,1
model1,20000,smc,0,0 1,2,6,0
model1,20000,smc,1,00 1 10,3,6,0
model1,20000,smc,2,000 1 10 100,4,6,1
model1,20000,smc,3,000000 1 10 100 1000 10000 100000,7,6,0
model1,20000,smc,0,0 1,2,7,0
model1,20000,smc,1,00 1 10,3,7,0
model1,20000,smc,2,000 1 10 100,4,7,0
model1,20000,smc,3,0000 1 10 100 1000,5,7,0
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,7,1
model1,20000,smc,0,0 1,2,8,0
model1,20000,smc,1,00 1 10,3,8,0
model1,20000,smc,2,000 1 10 100,4,8,0
model1,20000,smc,3,0000 1 10 100 1000,5,8,1
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,8,0
model1,20000,smc,0,0 1,2,9,0
model1,20000,smc,1,00 1 10,3,9,0
model1,20000,smc,2,000 1 10 100,4,9,0
model1,20000,smc,3,0000 1 10 100 1000,5,9,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,9,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,9,1
model1,20000,smc,0,0 1,2,10,0
model1,20000,smc,1,00 1 10,3,10,0
model1,20000,smc,2,000 1 10 100,4,10,0
model1,20000,smc,3,000000 1 10 100 1000 10000 100000,7,10,1
model1,20000,smc,0,0 1,2,11,0
model1,20000,smc,1,00 1 10,3,11,0
model1,20000,smc,2,000 1 10 100,4,11,0
model1,20000,smc,3,0000 1 10 100 1000,5,11,0
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,11,1
model1,20000,smc,0,0 1,2,12,0
model1,20000,smc,1,00 1 10,3,12,0
model1,20000,smc,2,000 1 10 100,4,12,0
model1,20000,smc,3,0000 1 10 100 1000,5,12,0
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,12,1
model1,20000,smc,0,0 1,2,13,0
model1,20000,smc,1,00 1 10,3,13,0
model1,20000,smc,2,000 1 10 100,4,13,0
model1,20000,smc,3,0000 1 10 100 1000,5,13,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,13,1
model1,20000,smc,0,0 1,2,14,0
model1,20000,smc,1,00 1 10,3,14,0
model1,20000,smc,2,000 1 10 100,4,14,0
model1,20000,smc,3,0000 1 10 100 1000,5,14,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,14,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,14,1
model1,20000,smc,0,0 1,2,15,0
model1,20000,smc,1,00 1 10,3,15,0
model1,20000,smc,2,000 1 10 100,4,15,0
model1,20000,smc,3,0000 1 10 100 1000,5,15,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,15,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,15,1
model1,20000,smc,0,0 1,2,16,0
model1,20000,smc,1,00 1 10,3,16,0
model1,20000,smc,2,000 1 10 100,4,16,0
model1,20000,smc,3,00000 1 10 100 1000 10000,6,16,0
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,16,1
model1,20000,smc,0,0 1,2,17,0
model1,20000,smc,1,00 1 10,3,17,0
model1,20000,smc,2,000 1 10 100,4,17,0
model1,20000,smc,3,0000 1 10 100 1000,5,17,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,17,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,17,1
model1,20000,smc,0,0 1,2,18,0
model1,20000,smc,1,00 1 10,3,18,0
model1,20000,smc,2,000 1 10 100,4,18,0
model1,20000,smc,3,0000 1 10 100 1000,5,18,0
model1,20000,smc,4,000000 1 10 100 1000 10000 100000,7,18,1
model1,20000,smc,0,0 1,2,19,0
model1,20000,smc,1,00 1 10,3,19,0
model1,20000,smc,2,000 1 10 100,4,19,0
model1,20000,smc,3,0000 1 10 100 1000,5,19,0
model1,20000,smc,4,00000 1 10 100 1000 10000,6,19,0
model1,20000,smc,5,000000 1 10 100 1000 10000 100000,7,19,1
model1,20000,smc,0,0 1,2,20,0
model1,20000,smc,1,00 1 10,3,20,0
model1,20000,smc,2,000 1 10 100,4,20,0
model1,20000,smc,3,0000 1 10 100 1000,5,20,0
