model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model2,5000,smc,0,0 1,2,0,0
model2,5000,smc,1,0 1,2,0,0
model2,5000,smc,2,0 1,2,0,0
model2,5000,smc,3,0 1,2,0,0
model2,5000,smc,4,0 1,2,0,0
model2,5000,smc,5,0 1,2,0,1
model2,5000,smc,0,0 1,2,1,0
model2,5000,smc,1,0 1,2,1,0
model2,5000,smc,2,0 1,2,1,0
model2,5000,smc,3,0 1,2,1,0
model2,5000,smc,4,0 1,2,1,0
model2,5000,smc,5,0 1,2,1,1
model2,5000,smc,0,0 1,2,2,0
model2,5000,smc,1,0 1,2,2,0
model2,5000,smc,2,0 1,2,2,0
model2,5000,smc,3,0 1,2,2,0
model2,5000,smc,4,0 1,2,2,0
model2,5000,smc,5,0 1,2,2,1
