model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,smc,0,000000 1 10 100 1000 10000 100000,7,-3053.0931685256787,0,1
model2,0,smc,1,000 1 10 100,4,-3055.113532874976,1,1
model2,0,smc,2,00 1 10,3,-3061.766004558485,0,1
model2,0,smc,3,0 1,2,-3108.2701514250493,0,1
model2,1,smc,0,000000 1 10 100 1000 10000 100000,7,-2945.639355611396,0,2
model2,1,smc,1,00000 1 10 100 1000 10000,6,-2945.647834668917,0,2
model2,1,smc,2,000 1 10 100,4,-2946.686222394259,1,2
model2,1,smc,3,00 1 10,3,-2949.534482433141,0,2
model2,1,smc,4,0 1,2,-3010.959339030778,0,2
model2,2,smc,0,000000 1 10 100 1000 10000 100000,7,-3016.263315720148,0,4
model2,2,smc,1,00000 1 10 100 1000 10000,6,-3016.265544119985,0,4
model2,2,smc,2,0000 1 10 100 1000,5,-3016.316171778524,0,4
model2,2,smc,3,000 1 10 100,4,-3016.4663473144033,0,4
model2,2,smc,4,00 1 10,3,-3017.2359663142,1,4
model2,2,smc,5,0 1,2,-3067.373657888804,0,4
model2,3,smc,0,000000 1 10 100 1000 10000 100000,7,-3111.0129435524887,0,3
model2,3,smc,1,00000 1 10 100 1000 10000,6,-3111.1283212045596,0,3
model2,3,smc,2,0000 1 10 100 1000,5,-3111.6400589476893,0,3
model2,3,smc,3,000 1 10 100,4,-3112.111196056113,1,3
model2,3,smc,4,00 1 10,3,-3118.1578572716776,0,3
model2,3,smc,5,0 1,2,-3145.6073853622975,0,3
model2,4,smc,0,000000 1 10 100 1000 10000 100000,7,-2974.898216968264,0,2
model2,4,smc,1,0000 1 10 100 1000,5,-2975.2982569163414,0,2
model2,4,smc,2,000 1 10 100,4,-2975.5057087918985,1,2
model2,4,smc,3,00 1 10,3,-2983.210952160258,0,2
model2,4,smc,4,0 1,2,-3032.614198786176,0,2
model2,5,smc,0,000000 1 10 100 1000 10000 100000,7,-2969.393814313133,0,1
model2,5,smc,1,0000 1 10 100 1000,5,-2970.907813367956,1,1
model2,5,smc,2,000 1 10 100,4,-2972.3724932132773,0,1
model2,5,smc,3,00 1 10,3,-2978.429045758614,0,1
model2,5,smc,4,0 1,2,-3036.521981767616,0,1
model2,6,smc,0,000000 1 10 100 1000 10000 100000,7,-3092.383361590402,0,2
model2,6,smc,1,00000 1 10 100 1000 10000,6,-3092.3848564161954,0,2
model2,6,smc,2,000 1 10 100,4,-3093.216810622248,1,2
model2,6,smc,3,00 1 10,3,-3097.8911463697887,0,2
model2,6,smc,4,0 1,2,-3145.6073853622975,0,2
model2,7,smc,0,000000 1 10 100 1000 10000 100000,7,-3053.9190405633576,0,1
model2,7,smc,1,000 1 10 100,4,-3056.1965548686476,1,1
model2,7,smc,2,00 1 10,3,-3067.171339559192,0,1
model2,7,smc,3,0 1,2,-3125.010726283701,0,1
model2,8,smc,0,000000 1 10 100 1000 10000 100000,7,-3071.787422871893,0,2
model2,8,smc,1,00000 1 10 100 1000 10000,6,-3072.3432027786066,0,2
model2,8,smc,2,00 1 10,3,-3079.258678493446,1,2
model2,8,smc,3,0 1,2,-3129.0242121614883,0,2
model2,9,smc,0,000000 1 10 100 1000 10000 100000,7,-3005.0821272120984,0,1
model2,9,smc,1,000 1 10 100,4,-3010.309329765594,1,1
model2,9,smc,2,00 1 10,3,-3016.0695484273515,0,1
model2,9,smc,3,0 1,2,-3056.7346245705953,0,1
model2,10,smc,0,000000 1 10 100 1000 10000 100000,7,-3028.964275745981,0,3
model2,10,smc,1,00000 1 10 100 1000 10000,6,-3028.988382964169,0,3
model2,10,smc,2,0000 1 10 100 1000,5,-3029.105002487339,0,3
model2,10,smc,3,000 1 10 100,4,-3030.482510398702,1,3
model2,10,smc,4,00 1 10,3,-3039.1108046497266,0,3
model2,10,smc,5,0 1,2,-3088.5034351735576,0,3
model2,11,smc,0,000000 1 10 100 1000 10000 100000,7,-3014.8512906856804,0,1
model2,11,smc,1,000 1 10 100,4,-3017.687346511191,1,1
model2,11,smc,2,00 1 10,3,-3027.988328780522,0,1
model2,11,smc,3,0 1,2,-3080.602837413075,0,1
model2,12,smc,0,000000 1 10 100 1000 10000 100000,7,-2919.1033426997233,0,3
model2,12,smc,1,00000 1 10 100 1000 10000,6,-2920.2443019652983,0,3
