model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,2,prune,13,0000 00010 001010 1 100 1000 10010 101010,8,-1680.076909982054,0
model1,2,prune,14,0000 0010 001010 1 100 1000 101010,7,-1680.5280068542893,0
model1,2,prune,15,000 0010 001010 1 100 101010,6,-1682.1012522414603,0
model1,2,prune,16,00 0010 001010 1 101010,5,-1684.035106672391,0
model1,2,prune,17,00 0010 1 1010,4,-1686.1129967498778,0
model1,2,prune,18,00 1 10,3,-1688.6271686691707,0
model1,2,prune,19,0 1,2,-1696.4597471013617,1
model1,3,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1689.275580030175,0
model1,3,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,-1689.2755800301748,0
model1,3,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,-1689.275580030175,0
model1,3,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1689.2755800301748,0
model1,3,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1689.275580030175,0
model1,3,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1689.2755800301748,0
model1,3,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1689.275580030175,0
model1,3,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1689.275580030175,0
model1,3,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1689.8283324583222,0
model1,3,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1690.437360844743,0
model1,3,prune,10,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1690.4373608447427,0
model1,3,prune,11,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1691.4567550655152,0
model1,3,prune,12,0000 000010 001010 1 100 1000 100010 10010 101010,9,-1691.560940927568,0
model1,3,prune,13,000 000010 001010 1 100 100010 10010 101010,8,-1692.1939036656795,0
model1,3,prune,14,000 000010 1 100 100010 10010 1010,7,-1693.3925261662125,0
model1,3,prune,15,000 00010 1 100 10010 1010,6,-1695.081670439401,1
model1,3,prune,16,000 0010 1 100 1010,5,-1695.5437148510873,0
model1,3,prune,17,000 1 10 100,4,-1696.2427969741589,0
model1,3,prune,18,00 1 10,3,-1699.4190087943005,0
model1,3,prune,19,0 1,2,-1719.3083398796925,0
model1,4,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1663.4130832271258,0
model1,4,prune,1,000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,-1663.413083227126,0
model1,4,prune,2,000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,-1663.4130832271258,0
model1,4,prune,3,000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,18,-1663.4130832271258,0
model1,4,prune,4,000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,17,-1663.413083227126,0
model1,4,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1663.4130832271258,0
model1,4,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1663.4130832271258,0
model1,4,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1663.4130832271258,0
model1,4,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1663.437503394128,0
model1,4,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1663.7121082230087,0
model1,4,prune,10,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1663.7813121602646,0
model1,4,prune,11,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1664.0921061971183,0
model1,4,prune,12,00000 00010 001010 1 100 1000 10000 10010 101010,9,-1665.6236460726452,0
model1,4,prune,13,00000 0010 001010 1 100 1000 10000 101010,8,-1666.1767835513683,0
model1,4,prune,14,0000 0010 001010 1 100 1000 101010,7,-1667.9312381304521,0
model1,4,prune,15,000 0010 001010 1 100 101010,6,-1669.4549978788982,0
model1,4,prune,16,00 0010 001010 1 101010,5,-1671.0177838365591,1
model1,4,prune,17,00 0010 1 1010,4,-1674.1450007079577,0
model1,4,prune,18,00 1 10,3,-1676.569613257031,0
model1,4,prune,19,0 1,2,-1686.3138537431907,0
model1,5,prune,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,-1698.185131049999,0
model1,5,prune,1,00000 000001 000010 000100 000101 001000 001010 10000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,19,-1698.185131049999,0
model1,5,prune,2,00000 000001 000010 000100 001000 00101 001010 10000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,18,-1698.1851310499987,0
model1,5,prune,3,00000 000001 000010 000100 001000 001010 10000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1698.185131049999,0
model1,5,prune,4,00000 00001 000010 000100 001000 001010 10000 10001 100010 1001 10010 100100 101 10100 101000 101010,16,-1698.185131049999,0
model1,5,prune,5,00000 000010 0001 000100 001000 001010 10000 100010 1001 10010 100100 101 10100 101000 101010,15,-1698.185131049999,0
model1,5,prune,6,00000 000010 000100 001 001000 001010 10000 100010 10010 100100 101 10100 101000 101010,14,-1698.185131049999,0
model1,5,prune,7,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1698.185131049999,0
model1,5,prune,8,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-1698.2275974626502,0
model1,5,prune,9,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-1698.715896269846,0
model1,5,prune,10,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-1698.7164786352366,0
model1,5,prune,11,00000 000010 1 100 1000 10000 100010 10010 1010,9,-1699.8097291591237,0
model1,5,prune,12,0000 000010 1 100 1000 100010 10010 1010,8,-1701.7685804589178,0
model1,5,prune,13,000 000010 1 100 100010 10010 1010,7,-1702.4594807028266,0
model1,5,prune,14,000 00010 1 100 10010 1010,6,-1704.5080202846138,0
