model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,7,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1683.53811372822,0,10
model1,7,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1683.5553704543565,0,10
model1,7,smc,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1683.5750023271353,0,10
model1,7,smc,3,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,-1683.718349389168,0,10
model1,7,smc,4,000 000010 00100 001010 1 100010 10010 10100 101010,9,-1684.0284764846201,0,10
model1,7,smc,5,000 000010 001010 1 100 100010 10010 101010,8,-1684.6325629258813,0,10
model1,7,smc,6,00 000010 001010 1 100010 10010 101010,7,-1684.7983827979078,0,10
model1,7,smc,7,00 00010 001010 1 10010 101010,6,-1685.2490017329853,0,10
model1,7,smc,8,00 0010 001010 1 101010,5,-1685.3435019898866,0,10
model1,7,smc,9,00 0010 1 1010,4,-1686.0814012455637,0,10
model1,7,smc,10,00 1 10,3,-1690.3062629774884,1,10
model1,7,smc,11,0 1,2,-1704.561584636912,0,10
model1,7,smc,12,,1,-3401.237219313033,0,10
model1,8,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1743.1849089222976,0,7
model1,8,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1743.196277867336,0,7
model1,8,smc,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1743.5214954428372,0,7
model1,8,smc,3,000 000010 001010 1 100 100010 10010 101010,8,-1744.9970653394025,0,7
model1,8,smc,4,000 0010 001010 1 100 101010,6,-1745.4995974295493,0,7
model1,8,smc,5,000 0010 1 100 1010,5,-1746.214805593043,0,7
model1,8,smc,6,00 0010 1 1010,4,-1747.0388099161275,0,7
model1,8,smc,7,00 1 10,3,-1750.1859515719905,1,7
model1,8,smc,8,0 1,2,-1761.6218212651215,0,7
model1,8,smc,9,,1,-3392.5975978940687,0,7
model1,9,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1625.9435962077441,0,6
model1,9,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1625.9441310688344,0,6
model1,9,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1626.0205689672719,0,6
model1,9,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1627.562986377226,0,6
model1,9,smc,4,000000 1 10 100 1000 10000 100000,7,-1630.2629162186352,0,6
model1,9,smc,5,00000 1 10 100 1000 10000,6,-1631.1769270491413,0,6
model1,9,smc,6,0000 1 10 100 1000,5,-1632.871534869243,1,6
model1,9,smc,7,00 1 10,3,-1640.2951723630063,0,6
model1,9,smc,8,0 1,2,-1664.3613303747763,0,6
model1,9,smc,9,,1,-3406.585993708169,0,6
model1,10,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1674.3209883868276,0,8
model1,10,smc,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-1674.3457352702587,0,8
model1,10,smc,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-1674.4459026071859,0,8
model1,10,smc,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-1674.661038064885,0,8
model1,10,smc,4,00000 00010 00100 001000 1 10000 10010 1010 10100 101000,10,-1674.8917838055092,0,8
model1,10,smc,5,00000 00010 001000 1 100 10000 10010 1010 101000,9,-1675.599684685831,0,8
model1,10,smc,6,00000 0010 001000 1 100 10000 1010 101000,8,-1675.8518729461387,0,8
model1,10,smc,7,00 0010 1 1010,4,-1678.8086329382377,0,8
model1,10,smc,8,00 1 10,3,-1681.290260215931,1,8
model1,10,smc,9,0 1,2,-1685.0049496639804,0,8
model1,10,smc,10,,1,-3404.098447397548,0,8
