model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,15,smc,0,000000 1 10 100 1000 10000 100000,7,-6802.870838150899,0,3
model1,15,smc,1,00000 1 10 100 1000 10000,6,-6804.216514757687,0,3
model1,15,smc,2,0000 1 10 100 1000,5,-6805.786410100419,0,3
model1,15,smc,3,000 1 10 100,4,-6807.4447190559895,1,3
model1,15,smc,4,00 1 10,3,-6818.837965637693,0,3
model1,15,smc,5,0 1,2,-6858.091764943066,0,3
model1,16,smc,0,000000 1 10 100 1000 10000 100000,7,-6792.585924222548,0,2
model1,16,smc,1,00000 1 10 100 1000 10000,6,-6792.596624151442,0,2
model1,16,smc,2,000 1 10 100,4,-6793.126937862547,1,2
model1,16,smc,3,00 1 10,3,-6798.24061849938,0,2
model1,16,smc,4,0 1,2,-6854.57071079487,0,2
model1,17,smc,0,000000 1 10 100 1000 10000 100000,7,-6759.768037690903,0,2
model1,17,smc,1,00000 1 10 100 1000 10000,6,-6759.848000654132,0,2
model1,17,smc,2,0000 1 10 100 1000,5,-6760.30926511013,1,2
model1,17,smc,3,000 1 10 100,4,-6762.63345126412,0,2
model1,17,smc,4,00 1 10,3,-6768.175605476161,0,2
model1,17,smc,5,0 1,2,-6815.336449099617,0,2
model1,18,smc,0,000000 1 10 100 1000 10000 100000,7,-6813.677475465016,0,1
model1,18,smc,1,000 1 10 100,4,-6814.750892306893,1,1
model1,18,smc,2,00 1 10,3,-6824.465754993869,0,1
model1,18,smc,3,0 1,2,-6853.61295593549,0,1
model1,19,smc,0,000000 1 10 100 1000 10000 100000,7,-6779.949734041293,0,3
model1,19,smc,1,00000 1 10 100 1000 10000,6,-6779.951304807552,0,3
model1,19,smc,2,0000 1 10 100 1000,5,-6780.2773475161575,0,3
model1,19,smc,3,000 1 10 100,4,-6781.62526091847,1,3
model1,19,smc,4,00 1 10,3,-6789.757524996197,0,3
model1,19,smc,5,0 1,2,-6832.430217590871,0,3
model1,20,smc,0,000000 1 10 100 1000 10000 100000,7,-6734.855515423741,0,3
model1,20,smc,1,00000 1 10 100 1000 10000,6,-6735.092046083536,0,3
model1,20,smc,2,0000 1 10 100 1000,5,-6735.37947049508,0,3
model1,20,smc,3,000 1 10 100,4,-6736.330297628676,1,3
model1,20,smc,4,00 1 10,3,-6745.7748550622155,0,3
model1,20,smc,5,0 1,2,-6792.647139200302,0,3
model1,21,smc,0,000000 1 10 100 1000 10000 100000,7,-6832.6667258107955,0,3
model1,21,smc,1,00000 1 10 100 1000 10000,6,-6832.673149625036,0,3
model1,21,smc,2,0000 1 10 100 1000,5,-6832.751516383455,0,3
model1,21,smc,3,000 1 10 100,4,-6833.795059869544,1,3
model1,21,smc,4,00 1 10,3,-6838.086740578102,0,3
model1,21,smc,5,0 1,2,-6883.582431872694,0,3
model1,22,smc,0,000000 1 10 100 1000 10000 100000,7,-6754.0016648888395,0,3
model1,22,smc,1,00000 1 10 100 1000 10000,6,-6754.16852499458,0,3
model1,22,smc,2,000 1 10 100,4,-6756.214364343734,0,3
model1,22,smc,3,00 1 10,3,-6757.92713586924,1,3
model1,22,smc,4,0 1,2,-6816.628198178122,0,3
model1,23,smc,0,000000 1 10 100 1000 10000 100000,7,-6788.744601971853,0,1
model1,23,smc,1,0000 1 10 100 1000,5,-6791.295982554404,1,1
model1,23,smc,2,000 1 10 100,4,-6792.894603406908,0,1
model1,23,smc,3,00 1 10,3,-6801.214700900086,0,1
model1,23,smc,4,0 1,2,-6853.61295593549,0,1
model1,24,smc,0,000000 1 10 100 1000 10000 100000,7,-6749.325626243322,0,2
model1,24,smc,1,00000 1 10 100 1000 10000,6,-6750.063593838087,0,2
model1,24,smc,2,000 1 10 100,4,-6752.458389997292,1,2
model1,24,smc,3,00 1 10,3,-6758.243331392736,0,2
model1,24,smc,4,0 1,2,-6817.598280262002,0,2
model1,25,smc,0,000000 1 10 100 1000 10000 100000,7,-6786.351679524103,0,3
model1,25,smc,1,00000 1 10 100 1000 10000,6,-6786.417236650725,0,3
model1,25,smc,2,0000 1 10 100 1000,5,-6786.541272737398,0,3
model1,25,smc,3,000 1 10 100,4,-6787.132553538123,1,3
model1,25,smc,4,00 1 10,3,-6791.371779012202,0,3
model1,25,smc,5,0 1,2,-6833.3950827270155,0,3
model1,26,smc,0,000000 1 10 100 1000 10000 100000,7,-6811.535279120827,0,2
model1,26,smc,1,0000 1 10 100 1000,5,-6812.325563112003,0,2
model1,26,smc,2,000 1 10 100,4,-6812.538357555729,1,2
model1,26,smc,3,00 1 10,3,-6818.605671672841,0,2
model1,26,smc,4,0 1,2,-6874.678605391443,0,2
model1,27,smc,0,000000 1 10 100 1000 10000 100000,7,-6788.206187750982,0,2
model1,27,smc,1,0000 1 10 100 1000,5,-6789.30552576993,0,2
model1,27,smc,2,000 1 10 100,4,-6790.704420218532,1,2
model1,27,smc,3,00 1 10,3,-6793.437018957315,0,2
model1,27,smc,4,0 1,2,-6851.371638299487,0,2
model1,28,smc,0,000000 1 10 100 1000 10000 100000,7,-6740.016510594535,0,3
model1,28,smc,1,00000 1 10 100 1000 10000,6,-6740.017762465695,0,3
model1,28,smc,2,0000 1 10 100 1000,5,-6740.173185194661,0,3
model1,28,smc,3,000 1 10 100,4,-6740.176493948347,1,3
model1,28,smc,4,00 1 10,3,-6749.39635861114,0,3
model1,28,smc,5,0 1,2,-6788.093746529139,0,3
model1,29,smc,0,000000 1 10 100 1000 10000 100000,7,-6799.504730704256,0,2
model1,29,smc,1,00000 1 10 100 1000 10000,6,-6799.583325084436,0,2
model1,29,smc,2,000 1 10 100,4,-6803.5641412125005,1,2
model1,29,smc,3,00 1 10,3,-6807.364583509745,0,2
model1,29,smc,4,0 1,2,-6847.8451507759855,0,2
model1,30,smc,0,000000 1 10 100 1000 10000 100000,7,-6717.81980577042,0,3
model1,30,smc,1,00000 1 10 100 1000 10000,6,-6717.873781055607,0,3
model1,30,smc,2,0000 1 10 100 1000,5,-6717.9511995538305,0,3
model1,30,smc,3,000 1 10 100,4,-6718.114992944538,1,3
model1,30,smc,4,00 1 10,3,-6720.894933039839,0,3
model1,30,smc,5,0 1,2,-6762.957123145878,0,3
model1,31,smc,0,000000 1 10 100 1000 10000 100000,7,-6699.517582253631,0,2
model1,31,smc,1,000 1 10 100,4,-6701.448687094049,0,2
model1,31,smc,2,00 1 10,3,-6703.47404984788,1,2
model1,31,smc,3,0 1,2,-6760.664152452144,0,2
model1,32,smc,0,000000 1 10 100 1000 10000 100000,7,-6722.563699462503,0,2
model1,32,smc,1,000 1 10 100,4,-6724.062298463694,0,2
model1,32,smc,2,00 1 10,3,-6725.115279067038,1,2
model1,32,smc,3,0 1,2,-6772.115949040823,0,2
model1,33,smc,0,000000 1 10 100 1000 10000 100000,7,-6869.845798623044,0,2
model1,33,smc,1,0000 1 10 100 1000,5,-6870.655927976274,0,2
model1,33,smc,2,000 1 10 100,4,-6870.695985880227,1,2
model1,33,smc,3,00 1 10,3,-6876.977956556511,0,2
model1,33,smc,4,0 1,2,-6929.996382382635,0,2
model1,34,smc,0,000000 1 10 100 1000 10000 100000,7,-6796.297352174072,0,1
model1,34,smc,1,000 1 10 100,4,-6797.71082691491,1,1
model1,34,smc,2,00 1 10,3,-6809.7992036820115,0,1
model1,34,smc,3,0 1,2,-6856.810012534089,0,1
model1,35,smc,0,000000 1 10 100 1000 10000 100000,7,-6763.042063341274,0,1
model1,35,smc,1,000 1 10 100,4,-6764.340088304297,1,1
model1,35,smc,2,00 1 10,3,-6767.449972193157,0,1
model1,35,smc,3,0 1,2,-6820.827726737265,0,1
model1,36,smc,0,000000 1 10 100 1000 10000 100000,7,-6836.741918799943,0,3
model1,36,smc,1,00000 1 10 100 1000 10000,6,-6836.774905335993,0,3
model1,36,smc,2,000 1 10 100,4,-6838.085733767148,0,3
model1,36,smc,3,00 1 10,3,-6842.090548360823,1,3
model1,36,smc,4,0 1,2,-6884.857797257955,0,3
model1,37,smc,0,000000 1 10 100 1000 10000 100000,7,-6603.119649803943,0,1
model1,37,smc,1,000 1 10 100,4,-6606.028638934893,1,1
model1,37,smc,2,00 1 10,3,-6614.04597233351,0,1
model1,37,smc,3,0 1,2,-6657.138112718847,0,1
model1,38,smc,0,000000 1 10 100 1000 10000 100000,7,-6755.97844351167,0,2
model1,38,smc,1,00000 1 10 100 1000 10000,6,-6756.132441747809,0,2
model1,38,smc,2,00 1 10,3,-6759.849614740257,1,2
model1,38,smc,3,0 1,2,-6813.073329368076,0,2
model1,39,smc,0,000000 1 10 100 1000 10000 100000,7,-6800.302812484818,0,4
model1,39,smc,1,00000 1 10 100 1000 10000,6,-6800.313512413712,0,4
model1,39,smc,2,0000 1 10 100 1000,5,-6800.735265440934,0,4
model1,39,smc,3,000 1 10 100,4,-6801.041288743287,0,4
model1,39,smc,4,00 1 10,3,-6805.963947522101,1,4
model1,39,smc,5,0 1,2,-6853.61295593549,0,4
model1,40,smc,0,000000 1 10 100 1000 10000 100000,7,-6837.02000245389,0,2
model1,40,smc,1,0000 1 10 100 1000,5,-6838.37301098719,0,2
model1,40,smc,2,000 1 10 100,4,-6839.865297215729,1,2
model1,40,smc,3,00 1 10,3,-6850.606432423538,0,2
model1,40,smc,4,0 1,2,-6883.90994458141,0,2
model1,41,smc,0,000000 1 10 100 1000 10000 100000,7,-6787.308976884886,0,3
model1,41,smc,1,00000 1 10 100 1000 10000,6,-6787.841746120063,0,3
model1,41,smc,2,0000 1 10 100 1000,5,-6788.574424195834,0,3
model1,41,smc,3,000 1 10 100,4,-6789.0493809599975,1,3
model1,41,smc,4,00 1 10,3,-6798.622264030798,0,3
model1,41,smc,5,0 1,2,-6855.852997900034,0,3
model1,42,smc,0,000000 1 10 100 1000 10000 100000,7,-6777.098178564026,0,3
model1,42,smc,1,00000 1 10 100 1000 10000,6,-6777.7413682390825,0,3
model1,42,smc,2,0000 1 10 100 1000,5,-6779.249629641314,0,3
model1,42,smc,3,000 1 10 100,4,-6780.787606051301,1,3
model1,42,smc,4,00 1 10,3,-6790.141517819586,0,3
model1,42,smc,5,0 1,2,-6850.412712819154,0,3
model1,43,smc,0,000000 1 10 100 1000 10000 100000,7,-6841.051941836834,0,3
model1,43,smc,1,0000 1 10 100 1000,5,-6842.1194833929985,0,3
model1,43,smc,2,000 1 10 100,4,-6844.731130175889,0,3
model1,43,smc,3,00 1 10,3,-6847.725465985881,1,3
model1,43,smc,4,0 1,2,-6887.080058132362,0,3
model1,44,smc,0,000000 1 10 100 1000 10000 100000,7,-6759.709208320516,0,3
model1,44,smc,1,00000 1 10 100 1000 10000,6,-6759.719973918786,0,3
model1,44,smc,2,0000 1 10 100 1000,5,-6759.785983366412,0,3
model1,44,smc,3,000 1 10 100,4,-6760.320508369812,1,3
model1,44,smc,4,00 1 10,3,-6763.641110061131,0,3
model1,44,smc,5,0 1,2,-6819.858823621766,0,3
model1,45,smc,0,000000 1 10 100 1000 10000 100000,7,-6878.373915375677,0,2
model1,45,smc,1,0000 1 10 100 1000,5,-6881.290611302052,0,2
model1,45,smc,2,000 1 10 100,4,-6882.757808032025,1,2
model1,45,smc,3,00 1 10,3,-6886.16668598424,0,2
model1,45,smc,4,0 1,2,-6934.720134573441,0,2
model1,46,smc,0,000000 1 10 100 1000 10000 100000,7,-6778.4170845957005,0,3
model1,46,smc,1,00000 1 10 100 1000 10000,6,-6778.456743303556,0,3
model1,46,smc,2,0000 1 10 100 1000,5,-6778.675497604096,0,3
model1,46,smc,3,000 1 10 100,4,-6779.1909337220495,1,3
model1,46,smc,4,00 1 10,3,-6781.991705929999,0,3
model1,46,smc,5,0 1,2,-6837.896901264344,0,3
model1,47,smc,0,000000 1 10 100 1000 10000 100000,7,-6782.50519610273,0,4
model1,47,smc,1,00000 1 10 100 1000 10000,6,-6782.684699151986,0,4
model1,47,smc,2,0000 1 10 100 1000,5,-6783.118888309478,0,4
model1,47,smc,3,000 1 10 100,4,-6784.6534448139555,0,4
model1,47,smc,4,00 1 10,3,-6787.170858715713,1,4
model1,47,smc,5,0 1,2,-6853.61295593549,0,4
model1,48,smc,0,000000 1 10 100 1000 10000 100000,7,-6647.398802794734,0,3
model1,48,smc,1,00000 1 10 100 1000 10000,6,-6647.512584607391,0,3
model1,48,smc,2,000 1 10 100,4,-6649.589274952779,0,3
model1,48,smc,3,00 1 10,3,-6653.445042244608,1,3
model1,48,smc,4,0 1,2,-6723.798291878384,0,3
model1,49,smc,0,000000 1 10 100 1000 10000 100000,7,-6766.946115341473,0,1
model1,49,smc,1,000 1 10 100,4,-6769.09593028438,1,1
model1,49,smc,2,00 1 10,3,-6770.310706239145,0,1
model1,49,smc,3,0 1,2,-6824.376049994653,0,1
model1,50,smc,0,000000 1 10 100 1000 10000 100000,7,-6756.5496768720195,0,2
model1,50,smc,1,00000 1 10 100 1000 10000,6,-6756.692921970427,0,2
model1,50,smc,2,000 1 10 100,4,-6757.835474668322,1,2
model1,50,smc,3,00 1 10,3,-6761.115003536817,0,2
model1,50,smc,4,0 1,2,-6804.007949384766,0,2
model1,51,smc,0,000000 1 10 100 1000 10000 100000,7,-6652.532249915505,0,2
model1,51,smc,1,00000 1 10 100 1000 10000,6,-6653.235406207371,0,2
model1,51,smc,2,000 1 10 100,4,-6655.551279842619,1,2
model1,51,smc,3,00 1 10,3,-6660.7919620404355,0,2
model1,51,smc,4,0 1,2,-6721.482989211054,0,2
model1,52,smc,0,000000 1 10 100 1000 10000 100000,7,-6738.918281944523,0,2
model1,52,smc,1,00000 1 10 100 1000 10000,6,-6739.240328335456,0,2
model1,52,smc,2,00 1 10,3,-6741.6182758479645,1,2
model1,52,smc,3,0 1,2,-6791.349725264251,0,2
model1,53,smc,0,000000 1 10 100 1000 10000 100000,7,-6760.966935317384,0,3
model1,53,smc,1,00000 1 10 100 1000 10000,6,-6761.429351016492,0,3
model1,53,smc,2,0000 1 10 100 1000,5,-6762.098957990821,0,3
model1,53,smc,3,000 1 10 100,4,-6763.570685579052,1,3
model1,53,smc,4,00 1 10,3,-6768.245105699787,0,3
model1,53,smc,5,0 1,2,-6818.889487951541,0,3
model1,54,smc,0,000000 1 10 100 1000 10000 100000,7,-6777.452711267663,0,3
model1,54,smc,1,00000 1 10 100 1000 10000,6,-6777.458390006547,0,3
model1,54,smc,2,0000 1 10 100 1000,5,-6777.623170901407,0,3
model1,54,smc,3,000 1 10 100,4,-6777.861332234881,1,3
model1,54,smc,4,00 1 10,3,-6783.4946182866115,0,3
model1,54,smc,5,0 1,2,-6827.599401230622,0,3
model1,55,smc,0,000000 1 10 100 1000 10000 100000,7,-6715.722375751778,0,1
model1,55,smc,1,0000 1 10 100 1000,5,-6716.800086855648,1,1
model1,55,smc,2,000 1 10 100,4,-6719.348956269757,0,1
model1,55,smc,3,00 1 10,3,-6725.01680064537,0,1
model1,55,smc,4,0 1,2,-6771.130858259252,0,1
model1,56,smc,0,000000 1 10 100 1000 10000 100000,7,-6789.099017954105,0,3
model1,56,smc,1,00000 1 10 100 1000 10000,6,-6789.289783140253,0,3
model1,56,smc,2,0000 1 10 100 1000,5,-6789.742323858367,0,3
model1,56,smc,3,00 1 10,3,-6793.539122992905,1,3
model1,56,smc,4,0 1,2,-6835.646632848584,0,3
model1,57,smc,0,000000 1 10 100 1000 10000 100000,7,-6668.889289517981,0,2
model1,57,smc,1,00000 1 10 100 1000 10000,6,-6669.587727712648,0,2
model1,57,smc,2,000 1 10 100,4,-6671.050768034312,1,2
model1,57,smc,3,00 1 10,3,-6675.27259593811,0,2
model1,57,smc,4,0 1,2,-6731.734574713657,0,2
model1,58,smc,0,000000 1 10 100 1000 10000 100000,7,-6833.217231441771,0,2
model1,58,smc,1,0000 1 10 100 1000,5,-6833.291636446227,0,2
model1,58,smc,2,000 1 10 100,4,-6833.75279989455,1,2
model1,58,smc,3,00 1 10,3,-6844.198378948542,0,2
model1,58,smc,4,0 1,2,-6907.0235905958125,0,2
model1,59,smc,0,000000 1 10 100 1000 10000 100000,7,-6730.099043934786,0,2
model1,59,smc,1,00000 1 10 100 1000 10000,6,-6730.815779244949,0,2
model1,59,smc,2,000 1 10 100,4,-6733.377272560707,1,2
model1,59,smc,3,00 1 10,3,-6738.5862366879555,0,2
model1,59,smc,4,0 1,2,-6773.100603379165,0,2
model1,60,smc,0,000000 1 10 100 1000 10000 100000,7,-6768.76165016994,0,1
model1,60,smc,1,000 1 10 100,4,-6771.768302226166,1,1
model1,60,smc,2,00 1 10,3,-6777.172963989378,0,1
model1,60,smc,3,0 1,2,-6814.044472315755,0,1
model1,61,smc,0,000000 1 10 100 1000 10000 100000,7,-6804.909553720134,0,2
model1,61,smc,1,00000 1 10 100 1000 10000,6,-6804.983908911883,0,2
model1,61,smc,2,000 1 10 100,4,-6808.003047295908,1,2
model1,61,smc,3,00 1 10,3,-6811.405985071087,0,2
model1,61,smc,4,0 1,2,-6855.852997900034,0,2
model1,62,smc,0,000000 1 10 100 1000 10000 100000,7,-6751.927818814197,0,1
model1,62,smc,1,000 1 10 100,4,-6759.62641648363,1,1
model1,62,smc,2,00 1 10,3,-6769.265720347353,0,1
model1,62,smc,3,0 1,2,-6808.543221126398,0,1
model1,63,smc,0,000000 1 10 100 1000 10000 100000,7,-6835.223085427229,0,1
model1,63,smc,1,000 1 10 100,4,-6838.638002477104,1,1
model1,63,smc,2,00 1 10,3,-6850.350097488414,0,1
model1,63,smc,3,0 1,2,-6895.956463760674,0,1
model1,64,smc,0,000000 1 10 100 1000 10000 100000,7,-6846.59920280683,0,2
model1,64,smc,1,0000 1 10 100 1000,5,-6846.942830446098,0,2
model1,64,smc,2,000 1 10 100,4,-6847.481175485971,1,2
model1,64,smc,3,00 1 10,3,-6856.451831363705,0,2
model1,64,smc,4,0 1,2,-6909.233239244726,0,2
model1,65,smc,0,000000 1 10 100 1000 10000 100000,7,-6725.741271304559,0,3
model1,65,smc,1,00000 1 10 100 1000 10000,6,-6725.835361328978,0,3
model1,65,smc,2,0000 1 10 100 1000,5,-6726.345019708702,0,3
model1,65,smc,3,000 1 10 100,4,-6726.804484328145,1,3
model1,65,smc,4,00 1 10,3,-6732.086344142495,0,3
model1,65,smc,5,0 1,2,-6776.687538892864,0,3
model1,66,smc,0,000000 1 10 100 1000 10000 100000,7,-6772.64278090741,0,2
model1,66,smc,1,000 1 10 100,4,-6773.343269882761,0,2
model1,66,smc,2,00 1 10,3,-6775.231979937465,1,2
model1,66,smc,3,0 1,2,-6824.376049994653,0,2
model1,67,smc,0,000000 1 10 100 1000 10000 100000,7,-6721.613262270777,0,3
model1,67,smc,1,00000 1 10 100 1000 10000,6,-6722.017029021458,0,3
model1,67,smc,2,0000 1 10 100 1000,5,-6722.611630012482,0,3
model1,67,smc,3,000 1 10 100,4,-6722.939116582869,1,3
model1,67,smc,4,00 1 10,3,-6727.405135906811,0,3
model1,67,smc,5,0 1,2,-6782.553838330193,0,3
model1,68,smc,0,000000 1 10 100 1000 10000 100000,7,-6733.24453618084,0,4
model1,68,smc,1,00000 1 10 100 1000 10000,6,-6733.25029824218,0,4
model1,68,smc,2,0000 1 10 100 1000,5,-6733.3704575925085,0,4
model1,68,smc,3,000 1 10 100,4,-6733.743725310898,0,4
model1,68,smc,4,00 1 10,3,-6735.383247267261,1,4
model1,68,smc,5,0 1,2,-6793.9443235214585,0,4
model1,69,smc,0,000000 1 10 100 1000 10000 100000,7,-6714.74769553639,0,2
model1,69,smc,1,0000 1 10 100 1000,5,-6716.357188159217,0,2
model1,69,smc,2,000 1 10 100,4,-6719.50412456979,1,2
model1,69,smc,3,00 1 10,3,-6730.196860100763,0,2
model1,69,smc,4,0 1,2,-6798.491440867439,0,2
model1,70,smc,0,000000 1 10 100 1000 10000 100000,7,-6791.938759843386,0,2
model1,70,smc,1,0000 1 10 100 1000,5,-6792.859362646797,0,2
model1,70,smc,2,000 1 10 100,4,-6793.2650339343045,1,2
model1,70,smc,3,00 1 10,3,-6801.628771504628,0,2
model1,70,smc,4,0 1,2,-6848.169377612403,0,2
model1,71,smc,0,000000 1 10 100 1000 10000 100000,7,-6820.006644307669,0,3
model1,71,smc,1,00000 1 10 100 1000 10000,6,-6820.416420451378,0,3
model1,71,smc,2,000 1 10 100,4,-6821.928039913227,0,3
model1,71,smc,3,00 1 10,3,-6824.070796177678,1,3
model1,71,smc,4,0 1,2,-6872.449479149859,0,3
model1,72,smc,0,000000 1 10 100 1000 10000 100000,7,-6697.818765406538,0,1
model1,72,smc,1,000 1 10 100,4,-6699.923146224777,1,1
model1,72,smc,2,00 1 10,3,-6704.476700502983,0,1
model1,72,smc,3,0 1,2,-6750.171889137555,0,1
model1,73,smc,0,000000 1 10 100 1000 10000 100000,7,-6779.576448008829,0,3
model1,73,smc,1,00000 1 10 100 1000 10000,6,-6779.768101435806,0,3
model1,73,smc,2,0000 1 10 100 1000,5,-6779.968622630829,0,3
model1,73,smc,3,000 1 10 100,4,-6780.273709673847,1,3
model1,73,smc,4,00 1 10,3,-6788.000365569013,0,3
model1,73,smc,5,0 1,2,-6852.330133755893,0,3
model1,74,smc,0,000000 1 10 100 1000 10000 100000,7,-6802.4231060234815,0,2
model1,74,smc,1,0000 1 10 100 1000,5,-6802.576214872912,0,2
model1,74,smc,2,000 1 10 100,4,-6802.994201639751,1,2
model1,74,smc,3,00 1 10,3,-6807.162511540293,0,2
model1,74,smc,4,0 1,2,-6853.61295593549,0,2
model1,75,smc,0,000000 1 10 100 1000 10000 100000,7,-6767.058525679796,0,3
model1,75,smc,1,00000 1 10 100 1000 10000,6,-6767.122647037857,0,3
model1,75,smc,2,0000 1 10 100 1000,5,-6767.522226597965,0,3
model1,75,smc,3,000 1 10 100,4,-6768.858324694886,1,3
