model_name,sample_size,sample_idx,opt
model2,20000,72,1
model2,20000,73,1
model2,20000,74,1
model2,20000,75,1
model2,20000,76,1
model2,20000,77,1
model2,20000,78,1
model2,20000,79,1
model2,20000,80,1
model2,20000,81,1
model2,20000,82,1
model2,20000,83,1
model2,20000,84,1
model2,20000,85,1
model2,20000,86,1
model2,20000,87,1
model2,20000,88,1
model2,20000,89,1
model2,20000,90,1
model2,20000,91,1
model2,20000,92,1
model2,20000,93,1
model2,20000,94,1
model2,20000,95,1
model2,20000,96,1
model2,20000,97,1
model2,20000,98,1
model2,20000,99,1
