model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19601.66409056613,0,15
model2,0,prune,1, 000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-19601.66409056613,0,15
model2,0,prune,2, 000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,-19601.66409056613,0,15
model2,0,prune,3, 000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,19,-19601.66409056613,0,15
model2,0,prune,4, 000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,18,-19601.664090566133,0,15
model2,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-19601.66409056613,0,15
model2,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-19601.664090566133,0,15
model2,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5887.126396429144,0,15
model2,0,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-5887.150737585797,0,15
model2,0,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-5887.207381924876,0,15
model2,0,prune,10,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-5887.2657539145575,0,15
model2,0,prune,11,000000 00010 001010 1 100 1000 10000 100000 10010 101010,10,-5887.794354720347,0,15
model2,0,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,-5888.690113507599,0,15
model2,0,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-5889.6076231363,0,15
model2,0,prune,14,00000 0010 1 100 1000 10000 1010,7,-5890.90962733983,0,15
model2,0,prune,15,00000 1 10 100 1000 10000,6,-5892.427181288942,1,15
model2,0,prune,16,0000 1 10 100 1000,5,-5894.26916076804,0,15
model2,0,prune,17,000 1 10 100,4,-5895.224691840082,0,15
model2,0,prune,18,00 1 10,3,-5906.08268341352,0,15
model2,0,prune,19,0 1,2,-5999.8715127253145,0,15
model2,1,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19733.255451830162,0,14
model2,1,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-19733.255451830162,0,14
model2,1,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-19733.255451830162,0,14
model2,1,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-19733.255451830162,0,14
model2,1,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-19733.255451830162,0,14
model2,1,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-19733.255451830162,0,14
model2,1,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-19733.255451830162,0,14
model2,1,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6027.495865556696,0,14
model2,1,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-6027.57772039142,0,14
model2,1,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-6027.852254440973,0,14
model2,1,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,-6028.245782275541,0,14
model2,1,prune,11,000000 00010 00100 1 1000 10000 100000 10010 1010 10100,10,-6029.24429861325,0,14
model2,1,prune,12,000000 0010 00100 1 1000 10000 100000 1010 10100,9,-6029.244400320131,0,14
model2,1,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-6030.686334891463,0,14
model2,1,prune,14,00000 0010 1 100 1000 10000 1010,7,-6032.381542609599,1,14
model2,1,prune,15,0000 0010 1 100 1000 1010,6,-6032.5297952616,0,14
model2,1,prune,16,000 0010 1 100 1010,5,-6033.0840397120755,0,14
model2,1,prune,17,000 1 10 100,4,-6037.6022017822315,0,14
model2,1,prune,18,00 1 10,3,-6046.020889389282,0,14
model2,1,prune,19,0 1,2,-6110.599788785288,0,14
model2,2,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19749.816314326636,0,11
model2,2,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-19749.816314326636,0,11
model2,2,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-19749.816314326632,0,11
model2,2,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-19749.816314326632,0,11
model2,2,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-19749.816314326632,0,11
model2,2,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-19749.816314326632,0,11
model2,2,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-19749.81631432663,0,11
model2,2,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6048.610331549268,0,11
model2,2,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6048.713557606448,0,11
model2,2,prune,9,000000 00010 000100 001000 1 10000 100000 10010 100100 1010 10100 101000,12,-6048.902099651676,0,11
model2,2,prune,10,000000 000100 0010 001000 1 10000 100000 100100 1010 10100 101000,11,-6049.302896975811,0,11
model2,2,prune,11,000000 000100 001000 1 10 10000 100000 100100 10100 101000,10,-6051.3088130278165,1,11
model2,2,prune,12,000000 00100 001000 1 10 10000 100000 10100 101000,9,-6051.84539246307,0,11
model2,2,prune,13,000000 001000 1 10 100 10000 100000 101000,8,-6052.439480055045,0,11
model2,2,prune,14,000000 1 10 100 1000 10000 100000,7,-6053.01257406463,0,11
model2,2,prune,15,00000 1 10 100 1000 10000,6,-6053.687696078372,0,11
model2,2,prune,16,0000 1 10 100 1000,5,-6053.800484063239,0,11
model2,2,prune,17,000 1 10 100,4,-6055.118416713582,0,11
model2,2,prune,18,00 1 10,3,-6067.807327070124,0,11
model2,2,prune,19,0 1,2,-6164.84299779108,0,11
model2,3,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19721.607223813957,0,6
model2,3,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-19721.607223813957,0,6
model2,3,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-19721.607223813953,0,6
model2,3,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-19721.607223813957,0,6
model2,3,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-19721.607223813957,0,6
model2,3,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-19721.607223813957,0,6
model2,3,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-19721.607223813957,1,6
model2,3,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6016.161836147413,0,6
model2,3,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-6016.218892722912,0,6
model2,3,prune,9,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-6016.665756415503,0,6
model2,3,prune,10,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-6016.809740731374,0,6
model2,3,prune,11,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-6017.1139167153,0,6
model2,3,prune,12,0000 000010 001000 1 100 100010 10010 1010 101000,9,-6017.750967979015,0,6
model2,3,prune,13,0000 000010 1 100 1000 100010 10010 1010,8,-6018.756210772535,0,6
model2,3,prune,14,000 000010 1 100 100010 10010 1010,7,-6018.852263230695,0,6
model2,3,prune,15,000 00010 1 100 10010 1010,6,-6019.946893618653,0,6
model2,3,prune,16,000 0010 1 100 1010,5,-6019.950473175526,0,6
model2,3,prune,17,000 1 10 100,4,-6023.0960739927095,0,6
model2,3,prune,18,00 1 10,3,-6038.81959503179,0,6
model2,3,prune,19,0 1,2,-6122.460124572535,0,6
model2,4,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19644.446630942173,0,10
model2,4,prune,1, 000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-19644.446630942173,0,10
model2,4,prune,2, 000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,-19644.446630942173,0,10
model2,4,prune,3, 000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,19,-19644.446630942177,0,10
model2,4,prune,4, 000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,18,-19644.446630942173,0,10
model2,4,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-19644.446630942173,0,10
model2,4,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-19644.446630942173,0,10
model2,4,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5934.0345367971895,0,10
model2,4,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-5934.9486186482645,0,10
model2,4,prune,9,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-5934.960029103506,0,10
model2,4,prune,10,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100,11,-5934.974962366956,1,10
model2,4,prune,11,00000 00010 000100 1 1000 10000 10010 100100 1010 10100,10,-5935.081728060513,0,10
model2,4,prune,12,0000 00010 000100 1 1000 10010 100100 1010 10100,9,-5935.36832465415,0,10
model2,4,prune,13,000 00010 000100 1 10010 100100 1010 10100,8,-5935.4215204041675,0,10
model2,4,prune,14,000 00010 00100 1 10010 1010 10100,7,-5936.437228032071,0,10
model2,4,prune,15,000 00010 1 100 10010 1010,6,-5937.70721099991,0,10
model2,4,prune,16,000 0010 1 100 1010,5,-5939.319877516208,0,10
model2,4,prune,17,000 1 10 100,4,-5940.951876838484,0,10
model2,4,prune,18,00 1 10,3,-5955.7532965879645,0,10
model2,4,prune,19,0 1,2,-6063.533379976998,0,10
model2,5,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19616.116341242352,0,15
model2,5,prune,1, 000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,21,-19616.116341242356,0,15
model2,5,prune,2, 000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,20,-19616.116341242356,0,15
model2,5,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-19616.116341242352,0,15
model2,5,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-19616.116341242352,0,15
model2,5,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-19616.116341242352,0,15
model2,5,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-19616.116341242352,0,15
model2,5,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5906.483586841485,0,15
model2,5,prune,8,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-5906.483727287309,0,15
model2,5,prune,9,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-5906.770745518059,0,15
model2,5,prune,10,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-5906.888963870174,0,15
model2,5,prune,11,0000 000010 001000 001010 1 100 100010 10010 101000 101010,10,-5908.232084910545,0,15
model2,5,prune,12,0000 00010 001000 001010 1 100 10010 101000 101010,9,-5909.975401782252,0,15
model2,5,prune,13,0000 0010 001000 001010 1 100 101000 101010,8,-5912.454034669455,0,15
model2,5,prune,14,0000 0010 001000 1 100 1010 101000,7,-5915.657231716008,0,15
model2,5,prune,15,0000 001000 1 10 100 101000,6,-5916.917784751257,1,15
model2,5,prune,16,0000 1 10 100 1000,5,-5920.222556739656,0,15
model2,5,prune,17,000 1 10 100,4,-5921.1205220238335,0,15
model2,5,prune,18,00 1 10,3,-5933.707672504737,0,15
model2,5,prune,19,0 1,2,-6059.617335737069,0,15
model2,6,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-19588.78142423136,0,14
model2,6,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-19588.78142423136,0,14
model2,6,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-19588.78142423136,0,14
model2,6,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-19588.78142423136,0,14
