model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,2,prune,11,00000 000100 0010 001010 1 1000 10000 100100 10100 101010,10,-1513.7113751844074,0,10
model2,2,prune,12,0000 000100 0010 001010 1 1000 100100 10100 101010,9,-1513.7342350453723,0,10
model2,2,prune,13,000 000100 0010 001010 1 100100 10100 101010,8,-1514.3045065520398,0,10
model2,2,prune,14,000 0010 00100 001010 1 10100 101010,7,-1515.1318538884952,0,10
model2,2,prune,15,000 0010 001010 1 100 101010,6,-1515.1414601557253,0,10
model2,2,prune,16,000 0010 1 100 1010,5,-1517.206996766181,0,10
model2,2,prune,17,000 1 10 100,4,-1517.2432483974303,0,10
model2,2,prune,18,00 1 10,3,-1522.0716957696584,0,10
model2,2,prune,19,0 1,2,-1561.6317681817352,0,10
model2,3,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-4955.931639330813,0,15
model2,3,prune,1, 000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,21,-4955.931639330813,0,15
model2,3,prune,2, 000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,20,-4955.931639330813,0,15
model2,3,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-4955.931639330813,0,15
model2,3,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-4955.931639330813,0,15
model2,3,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-4955.931639330812,0,15
model2,3,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-4955.931639330813,0,15
model2,3,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1520.6098540399364,0,15
model2,3,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-1520.6103955844865,0,15
model2,3,prune,9,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-1520.6250282339975,0,15
model2,3,prune,10,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000,11,-1520.7130608172347,0,15
model2,3,prune,11,0000 000010 00100 001000 1 100010 10010 1010 10100 101000,10,-1520.979277420783,0,15
model2,3,prune,12,0000 000010 001000 1 100 100010 10010 1010 101000,9,-1521.4299535397172,0,15
model2,3,prune,13,0000 00010 001000 1 100 10010 1010 101000,8,-1521.894013429074,0,15
model2,3,prune,14,0000 0010 001000 1 100 1010 101000,7,-1522.4973017903258,0,15
model2,3,prune,15,0000 001000 1 10 100 101000,6,-1524.1172031554433,1,15
model2,3,prune,16,0000 1 10 100 1000,5,-1524.890938184533,0,15
model2,3,prune,17,000 1 10 100,4,-1525.04053375447,0,15
model2,3,prune,18,00 1 10,3,-1528.4082765776775,0,15
model2,3,prune,19,0 1,2,-1548.3312811023256,0,15
