model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5887.126396429144,0,9
model2,0,smc,0.0049173831939697266,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-5887.150737585797,0,9
model2,0,smc,0.011444027608220608,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-5887.207381924876,0,9
model2,0,smc,0.011788609073848204,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-5887.2657539145575,0,9
model2,0,smc,0.04107056306161332,4,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-5887.469123248155,0,9
model2,0,smc,0.1037434238909703,5,000 000010 001010 1 100 100010 10010 101010,8,-5888.496538173318,0,9
model2,0,smc,0.10675283390954471,6,000 00010 001010 1 100 10010 101010,7,-5889.025138979107,0,9
model2,0,smc,0.1809000789335592,7,000 00010 1 100 10010 1010,6,-5889.92089776636,0,9
model2,0,smc,0.18529433106921492,8,000 0010 1 100 1010,5,-5890.838407395062,0,9
model2,0,smc,0.30647035427284863,9,000 1 10 100,4,-5892.355961344173,1,9
model2,0,smc,1.8658890312706389,10,00 1 10,3,-5901.5953522672335,0,9
model2,0,smc,18.135724788736873,11,0 1,2,-5991.39878192197,0,9
model2,1,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6026.291218146174,0,7
model2,1,smc,0.016532838344573975,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-6026.373072980899,0,7
model2,1,smc,0.055442208904799006,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-6026.647607030451,0,7
model2,1,smc,0.07947511673995582,3,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,-6027.04113486502,0,7
model2,1,smc,0.10082881130671031,4,000000 0010 00100 1 1000 10000 100000 1010 10100,9,-6028.039676121879,0,7
model2,1,smc,0.16140477286029473,5,000 0010 00100 1 1010 10100,6,-6030.4373809424915,0,7
model2,1,smc,0.22209250665818375,6,000 0010 1 100 1010,5,-6031.537120627586,0,7
model2,1,smc,0.5878875715285705,7,000 1 10 100,4,-6034.448164375935,1,7
model2,1,smc,1.692774644751195,8,00 1 10,3,-6042.830323084014,0,7
model2,1,smc,13.082010737966058,9,0 1,2,-6107.6090870353255,0,7
model2,2,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6048.400270670927,0,8
model2,2,smc,0.02084672451019287,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6048.503496728108,0,8
model2,2,smc,0.03807919891962719,2,000000 00010 000100 001000 1 10000 100000 10010 100100 1010 10100 101000,12,-6048.692038773334,0,8
model2,2,smc,0.0776238688400141,3,000000 00010 001000 1 100 10000 100000 10010 1010 101000,10,-6049.460777210727,0,8
model2,2,smc,0.07954582020908867,4,000000 0010 001000 1 100 10000 100000 1010 101000,9,-6049.8546570585195,0,8
model2,2,smc,0.07956071899963232,5,0000 0010 001000 1 100 1010 101000,7,-6050.64256705713,0,8
model2,2,smc,0.08090905950365068,6,0000 001000 1 10 100 101000,6,-6051.04319975929,0,8
model2,2,smc,0.11574233680719381,7,0000 1 10 100 1000,5,-6051.616293768872,0,8
model2,2,smc,0.2661570840303453,8,000 1 10 100,4,-6052.934226419215,1,8
model2,2,smc,2.5526717288942624,9,00 1 10,3,-6065.574401013385,0,8
model2,2,smc,19.444329841006343,10,0 1,2,-6161.857725707198,0,8
model2,3,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6015.954289183206,0,7
model2,3,smc,0.011526048183441162,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-6016.011345758704,0,7
model2,3,smc,0.020779455969455185,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-6016.114219653609,0,7
model2,3,smc,0.02907905781767079,3,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-6016.258203969481,0,7
model2,3,smc,0.061428062964196804,4,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-6016.562379953406,0,7
model2,3,smc,0.1108342428853235,5,00000 0010 001000 1 100 10000 1010 101000,8,-6017.65999517022,0,7
model2,3,smc,0.11702057845138646,6,000 0010 1 100 1010,5,-6019.398341685615,0,7
model2,3,smc,0.30934954603254516,7,000 1 10 100,4,-6020.930142166112,1,7
model2,3,smc,3.164797491805275,8,00 1 10,3,-6036.601402791376,0,7
model2,3,smc,16.735365234617213,9,0 1,2,-6119.470639099953,0,7
model2,4,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5933.52370945301,0,7
model2,4,smc,0.0016093254089355469,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-5933.531671804677,0,7
model2,4,smc,0.0023096777308495575,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-5933.543082259918,0,7
model2,4,smc,0.0030174796179537047,3,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100,11,-5933.558015523368,0,7
model2,4,smc,0.0215618628084251,4,00000 00010 000100 1 1000 10000 10010 100100 1010 10100,10,-5933.664781216927,0,7
model2,4,smc,0.03401124609894314,5,000 00010 000100 1 10010 100100 1010 10100,8,-5934.001609385945,0,7
model2,4,smc,0.10959224469710635,6,000 00010 1 100 10010 1010,6,-5935.086936265503,0,7
model2,4,smc,0.16297326504303916,7,000 1 10 100,4,-5936.70093121868,1,7
model2,4,smc,2.996473770740464,8,00 1 10,3,-5951.5386934105,0,7
model2,4,smc,21.46766217882626,9,0 1,2,-6057.841021698723,0,7
model2,5,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5906.483586841485,0,6
model2,5,smc,2.9802322387695312e-05,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-5906.483727287309,0,6
model2,5,smc,0.03677606363616803,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-5906.665805086257,0,6
model2,5,smc,0.040918747383729526,3,00000 00010 001000 001010 1 100 10000 10010 101000 101010,10,-5907.071041669122,0,6
model2,5,smc,0.27124204649375294,4,0000 00010 001000 001010 1 100 10010 101000 101010,9,-5908.414162709493,0,6
model2,5,smc,0.37142033264010343,5,000 00010 001010 1 100 10010 101010,7,-5912.092491708887,0,6
model2,5,smc,0.4617008217300592,6,000 1 10 100,4,-5918.951155996781,1,6
model2,5,smc,2.3477410475934413,7,00 1 10,3,-5930.576532131784,0,6
model2,5,smc,24.909515513161544,8,0 1,2,-6053.922063649618,0,6
model2,6,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-5869.66457378419,0,7
model2,6,smc,0.005248934030532837,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-5869.690564641332,0,7
model2,6,smc,0.00654532144495068,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-5869.7229667697575,0,7
model2,6,smc,0.022645815346327966,3,000000 0010 00100 001010 1 1000 10000 100000 10100 101010,10,-5869.947230246472,0,7
model2,6,smc,0.02665404615994066,4,000000 0010 00100 1 1000 10000 100000 1010 10100,9,-5870.079203888378,0,7
model2,6,smc,0.03887234696986493,5,000000 00100 1 10 1000 10000 100000 10100,8,-5870.271685188181,0,7
model2,6,smc,0.1148549107774307,6,000 00100 1 10 10100,5,-5871.977859904494,0,7
model2,6,smc,0.1416857373670654,7,000 1 10 100,4,-5872.679425622829,1,7
model2,6,smc,3.287300953032948,8,00 1 10,3,-5888.9572928172665,0,7
model2,6,smc,13.728380848117322,9,0 1,2,-5956.936715541228,0,7
