model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,5,smc,0.2752477810727908,5,00 1 10,3,-1704.92396893384,1,5
model1,5,smc,3.968239725712926,6,0 1,2,-1721.8230861757274,0,5
model1,5,smc,392.88009114711275,7,,1,-3394.9409006661745,0,5
model1,6,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1665.6482045955281,0,6
model1,6,smc,0.0007338821887969971,1,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1665.6544540511873,0,6
model1,6,smc,0.014130006439683207,2,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-1665.7146195649432,0,6
model1,6,smc,0.042724526666329934,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1665.896537934506,0,6
model1,6,smc,0.07823095954091872,4,000000 1 10 100 1000 10000 100000,7,-1666.8959557840155,0,6
model1,6,smc,0.09185593932861114,5,000 1 10 100,4,-1668.0694670920625,0,6
model1,6,smc,0.1837196196996006,6,00 1 10,3,-1668.8518328229504,1,6
model1,6,smc,1.7819969278133385,7,0 1,2,-1676.4406168336757,0,6
model1,6,smc,405.0429122418525,8,,1,-3401.3549821220604,0,6
model1,7,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1683.1172290501613,0,8
model1,7,smc,0.0040531158447265625,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1683.1344857762979,0,8
model1,7,smc,0.004611904859785909,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1683.1541176490766,0,8
model1,7,smc,0.033661450657237524,3,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,-1683.2974647111093,0,8
model1,7,smc,0.036417979888059504,4,000 000010 00100 001010 1 100010 10010 10100 101010,9,-1683.6075918065615,0,8
model1,7,smc,0.0635137678275953,5,00 000010 001010 1 100010 10010 101010,7,-1684.1485309521145,0,8
model1,7,smc,0.06474295746532048,6,00 0010 001010 1 101010,5,-1684.6999515782418,0,8
model1,7,smc,0.1732764108084241,7,00 0010 1 1010,4,-1685.4378508339191,0,8
model1,7,smc,0.7237021256595982,8,00 1 10,3,-1688.519804402897,1,8
model1,7,smc,3.3127401809874857,9,0 1,2,-1702.6274218349045,0,8
model1,7,smc,398.07492569464455,10,,1,-3397.8679149995037,0,8
model1,8,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1742.8460877339983,0,7
model1,8,smc,0.0026710331439971924,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1742.8574566790369,0,7
model1,8,smc,0.018481080711896247,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1742.9361501925912,0,7
model1,8,smc,0.05927895202740566,3,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,-1743.4410311410386,0,7
model1,8,smc,0.08662306586319617,4,000 0010 001010 1 100 101010,6,-1744.9166010376039,0,7
model1,8,smc,0.16794696274796495,5,000 0010 1 100 1010,5,-1745.6318092010974,0,7
model1,8,smc,0.19042526212830357,6,00 0010 1 1010,4,-1746.4427390474111,0,7
model1,8,smc,0.45815672890856396,7,00 1 10,3,-1748.3938157765028,1,7
model1,8,smc,2.654719070467196,8,0 1,2,-1759.6991760436863,0,7
model1,8,smc,382.64507759978346,9,,1,-3389.230186019592,0,7
model1,9,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1625.9435962077441,0,8
model1,9,smc,0.00012665987014770508,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1625.9441310688344,0,8
model1,9,smc,0.017949375465717288,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1626.0205689672719,0,8
model1,9,smc,0.07154692812571908,3,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,-1626.3252326657985,0,8
model1,9,smc,0.11496642318272707,4,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,-1626.814820392326,0,8
model1,9,smc,0.16189428820416368,5,000000 000100 1 10 1000 10000 100000 100100 10100,9,-1627.5042509566354,0,8
model1,9,smc,0.1810956657826161,6,000000 1 10 100 1000 10000 100000,7,-1629.0466683665893,0,8
model1,9,smc,0.214627892792728,7,00000 1 10 100 1000 10000,6,-1629.9606791970955,0,8
model1,9,smc,0.39792659191820623,8,0000 1 10 100 1000,5,-1631.6552870171972,1,8
model1,9,smc,0.6439127512063418,9,00 1 10,3,-1637.139574565463,0,8
model1,9,smc,5.3823769948650515,10,0 1,2,-1660.060927484777,0,8
model1,9,smc,409.3981085530489,11,,1,-3403.5223134432417,0,8
model1,10,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1673.9420039292456,0,8
model1,10,smc,0.005811452865600586,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-1673.9667508126768,0,8
model1,10,smc,0.023521277102478422,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-1674.066918149604,0,8
model1,10,smc,0.05052091099423646,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-1674.282053607303,0,8
model1,10,smc,0.0541862262603657,4,00000 00010 00100 001000 1 10000 10010 1010 10100 101000,10,-1674.5127993479275,0,8
model1,10,smc,0.061777545109622946,5,00000 0010 00100 001000 1 10000 1010 10100 101000,9,-1674.7758751694967,0,8
model1,10,smc,0.10302631274980725,6,00000 0010 001000 1 100 10000 1010 101000,8,-1675.2146103828154,0,8
model1,10,smc,0.17376989677333976,7,00 0010 1 1010,4,-1678.174637589087,0,8
model1,10,smc,0.29485933808795156,8,00 1 10,3,-1679.4303221684509,1,8
model1,10,smc,0.8537701230787855,9,0 1,2,-1683.066153098654,0,8
model1,10,smc,403.3399719493552,10,,1,-3400.72836009024,0,8
model1,11,smc,0.0,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1636.9526479869728,0,6
model1,11,smc,0.0013131648302078247,1,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010,11,-1636.9638288638325,0,6
model1,11,smc,0.011595870370691846,2,00000 0010 00100 001000 001010 1 10000 10100 101000 101010,10,-1637.013210493487,0,6
model1,11,smc,0.016546666357107866,3,00000 0010 001000 001010 1 100 10000 101000 101010,9,-1637.0836754388,0,6
model1,11,smc,0.11034683747066446,4,00000 001000 1 10 100 10000 101000,7,-1638.0235196956726,0,6
model1,11,smc,0.14508122744181454,5,0000 001000 1 10 100 101000,6,-1638.641355142303,0,6
model1,11,smc,0.21156767502485732,6,00 1 10,3,-1641.344294692989,1,6
model1,11,smc,4.635794195911981,7,0 1,2,-1661.0862586522076,0,6
model1,11,smc,409.15734004042224,8,,1,-3403.5223134432417,0,6
model1,12,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1714.3054438377724,0,8
model1,12,smc,0.00012665987014770508,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1714.3059733717103,0,8
model1,12,smc,0.007772816270817939,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1714.339074534584,0,8
model1,12,smc,0.021742437720072276,3,0000 000010 00100 001010 1 1000 100010 10010 10100 101010,10,-1714.5242317866175,0,8
model1,12,smc,0.05639358121018059,4,0000 000010 001010 1 100 1000 100010 10010 101010,9,-1714.7643857536211,0,8
model1,12,smc,0.06375392459405556,5,0000 00010 001010 1 100 1000 10010 101010,8,-1715.0358687245587,0,8
model1,12,smc,0.07099682793461598,6,0000 0010 001010 1 100 1000 101010,7,-1715.3382138910044,0,8
model1,12,smc,0.14384571004383523,7,00 0010 001010 1 101010,5,-1716.563361176645,0,8
model1,12,smc,0.14805407702161366,8,00 1 10,3,-1717.824361201134,1,8
model1,12,smc,3.231502325607835,9,0 1,2,-1731.5860102882793,0,8
model1,12,smc,390.2770748304049,10,,1,-3393.6186167897804,0,8
model1,13,smc,0.0,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1692.198971942481,0,6
model1,13,smc,0.002369517460465431,1,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-1692.219152690571,0,6
model1,13,smc,0.10191625305827276,2,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1692.6531598326412,0,6
model1,13,smc,0.1432622712808045,3,0000 000010 001010 1 100 1000 100010 10010 101010,9,-1693.2632499791957,0,6
model1,13,smc,0.18213571002961398,4,0000 1 10 100 1000,5,-1696.3657728237815,0,6
model1,13,smc,0.20255776014631838,5,000 1 10 100,4,-1697.2283574447852,0,6
model1,13,smc,0.41640706262408284,6,00 1 10,3,-1699.0016457675233,1,6
model1,13,smc,2.663960847687439,7,0 1,2,-1710.3463650224905,0,6
model1,13,smc,396.0349989072136,8,,1,-3396.8996440213004,0,6
model1,14,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1659.6605515230367,0,9
model1,14,smc,0.0031068921089172363,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1659.6737740789472,0,9
model1,14,smc,0.029429629793020773,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-1659.799101651483,0,9
model1,14,smc,0.05746451436956626,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-1660.0438097024296,0,9
model1,14,smc,0.060429504644521306,4,0000 000010 00100 001000 1 100010 10010 1010 10100 101000,10,-1660.3011425682873,0,9
model1,14,smc,0.07698269388701362,5,0000 0010 00100 001000 1 1010 10100 101000,8,-1660.9567855541866,0,9
model1,14,smc,0.12769843691940969,6,0000 0010 00100 1 1000 1010 10100,7,-1661.5005763909026,0,9
