sample_idx,tree_idx,tree
9,4,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010
9,5,0000 000010 00100 001010 1 1000 100010 10010 10100 101010
9,6,0000 000010 001010 1 100 1000 100010 10010 101010
9,7,0000 0010 001010 1 100 1000 101010
9,8,00 0010 001010 1 101010
9,9,00 1 10
9,10,0 1
10,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
10,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
10,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
10,3,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010
10,4,0000 000010 001000 001010 1 100 100010 10010 101000 101010
10,5,000 000010 001010 1 100 100010 10010 101010
10,6,000 0010 001010 1 100 101010
10,7,00 0010 001010 1 101010
10,8,00 1 10
10,9,0 1
11,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
11,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
11,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
11,3,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000
11,4,0000 000010 00100 001000 1 100010 10010 1010 10100 101000
11,5,0000 0010 00100 001000 1 1010 10100 101000
11,6,0000 0010 001000 1 100 1010 101000
11,7,0000 001000 1 10 100 101000
11,8,000 1 10 100
11,9,00 1 10
11,10,0 1
12,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
12,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
12,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
12,3,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010
12,4,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010
12,5,000000 000100 1 10 1000 10000 100000 100100 10100
12,6,000 000100 1 10 100100 10100
12,7,00 1 10
12,8,0 1
13,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
13,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
13,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
13,3,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010
13,4,00000 000100 0010 001000 1 10000 100100 1010 10100 101000
13,5,00000 000100 0010 1 1000 10000 100100 1010 10100
13,6,00000 000100 1 10 1000 10000 100100 10100
13,7,000 000100 1 10 100100 10100
13,8,000 1 10 100
13,9,00 1 10
13,10,0 1
14,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
14,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
14,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
14,3,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010
14,4,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010
14,5,00000 0010 001000 001010 1 100 10000 101000 101010
14,6,00000 0010 001000 1 100 10000 1010 101000
14,7,00000 001000 1 10 100 10000 101000
14,8,00000 1 10 100 1000 10000
14,9,000 1 10 100
14,10,00 1 10
14,11,0 1
15,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
15,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
15,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
15,3,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010
15,4,000000 00010 00100 001000 1 10000 100000 10010 1010 10100 101000
15,5,0000 00010 00100 001000 1 10010 1010 10100 101000
15,6,0000 0010 00100 001000 1 1010 10100 101000
15,7,0000 0010 001000 1 100 1010 101000
15,8,000 0010 1 100 1010
15,9,000 1 10 100
15,10,00 1 10
15,11,0 1
16,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
16,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
16,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
16,3,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100
16,4,000 000010 000100 1 100010 10010 100100 1010 10100
16,5,000 00010 000100 1 10010 100100 1010 10100
16,6,000 00010 00100 1 10010 1010 10100
16,7,000 00010 1 100 10010 1010
16,8,000 1 10 100
16,9,00 1 10
16,10,0 1
17,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
17,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
17,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
17,3,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010
17,4,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100
17,5,0000 00010 000100 1 1000 10010 100100 1010 10100
17,6,0000 000100 0010 1 1000 100100 1010 10100
17,7,0000 0010 1 100 1000 1010
17,8,0000 1 10 100 1000
17,9,000 1 10 100
17,10,00 1 10
17,11,0 1
18,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
18,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
18,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
18,3,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010
18,4,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010
18,5,00000 00010 00100 001010 1 1000 10000 10010 10100 101010
18,6,00000 00010 00100 1 1000 10000 10010 1010 10100
18,7,0000 00010 00100 1 1000 10010 1010 10100
18,8,0000 00010 1 100 1000 10010 1010
18,9,0000 0010 1 100 1000 1010
18,10,000 0010 1 100 1010
18,11,000 1 10 100
18,12,00 1 10
18,13,0 1
19,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
19,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
19,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
19,3,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100
19,4,000 000010 000100 1 100010 10010 100100 1010 10100
19,5,000 000100 1 10 100100 10100
19,6,000 1 10 100
19,7,00 1 10
19,8,0 1
20,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
20,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
20,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
20,3,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010
20,4,000000 00010 00100 001010 1 1000 10000 100000 10010 10100 101010
20,5,00000 00010 00100 001010 1 1000 10000 10010 10100 101010
20,6,0000 00010 00100 001010 1 1000 10010 10100 101010
20,7,0000 00010 00100 1 1000 10010 1010 10100
20,8,000 00010 00100 1 10010 1010 10100
20,9,000 00010 1 100 10010 1010
20,10,000 1 10 100
20,11,00 1 10
20,12,0 1
